2021-07-03 07:33:33,289 INFO     Search BICs for /tmp/Cli-17b/
2021-07-03 07:33:33,289 DEBUG    Reading the coverage of org.apache.commons.cli.PosixParserTest::testStopBursting (failings)
2021-07-03 07:33:33,294 INFO     Loaded 1x165 Coverage Matrix
2021-07-03 07:33:33,294 INFO     The number of total commits: 372
2021-07-03 07:33:33,632 DEBUG    [line range] org/apache/commons/cli/CommandLine.java <init> 47:47
2021-07-03 07:33:33,648 DEBUG                  - depth 0, hash 9b2b803, HEAD~287
2021-07-03 07:33:33,654 DEBUG                  - depth 1, hash aae50c5, HEAD~370
2021-07-03 07:33:33,658 DEBUG    [line range] org/apache/commons/cli/CommandLine.java addArg 323:326
2021-07-03 07:33:33,674 DEBUG                  - depth 0, hash 9b2b803, HEAD~287
2021-07-03 07:33:33,679 DEBUG                  - depth 1, hash aae50c5, HEAD~370
2021-07-03 07:33:33,683 DEBUG    [line range] org/apache/commons/cli/CommandLine.java addOption 334:337
2021-07-03 07:33:33,699 DEBUG                  - depth 0, hash b0e1b80, HEAD~108
2021-07-03 07:33:33,704 DEBUG                  - depth 1, hash 9b2b803, HEAD~287
2021-07-03 07:33:33,708 DEBUG                  - depth 2, hash 0f52eff, HEAD~295
2021-07-03 07:33:33,712 DEBUG                  - depth 3, hash 347bbeb, HEAD~296
2021-07-03 07:33:33,716 DEBUG                  - depth 4, hash 0c281fb, HEAD~299
2021-07-03 07:33:33,720 DEBUG                  - depth 5, hash 872f1d5, HEAD~319
2021-07-03 07:33:33,724 DEBUG                  - depth 6, hash c08f738, HEAD~322
2021-07-03 07:33:33,728 DEBUG                  - depth 7, hash 04490af, HEAD~335
2021-07-03 07:33:33,732 DEBUG                  - depth 8, hash f9df518, HEAD~339
2021-07-03 07:33:33,736 DEBUG                  - depth 9, hash 5aa47b7, HEAD~344
2021-07-03 07:33:33,740 DEBUG                  - depth 10, hash 4cca25d, HEAD~367
2021-07-03 07:33:33,744 DEBUG                  - depth 11, hash aae50c5, HEAD~370
2021-07-03 07:33:33,748 DEBUG    [line range] org/apache/commons/cli/CommandLine.java getArgList 291:294
2021-07-03 07:33:33,764 DEBUG                  - depth 0, hash 9b2b803, HEAD~287
2021-07-03 07:33:33,769 DEBUG                  - depth 1, hash aae50c5, HEAD~370
2021-07-03 07:33:33,773 DEBUG    [line range] org/apache/commons/cli/CommandLine.java hasOption 69:72
2021-07-03 07:33:33,789 DEBUG                  - depth 0, hash b0e1b80, HEAD~108
2021-07-03 07:33:33,794 DEBUG                  - depth 1, hash 9b2b803, HEAD~287
2021-07-03 07:33:33,798 DEBUG                  - depth 2, hash 4cca25d, HEAD~367
2021-07-03 07:33:33,802 DEBUG                  - depth 3, hash aae50c5, HEAD~370
2021-07-03 07:33:33,806 DEBUG    [line range] org/apache/commons/cli/CommandLine.java resolveOption 171:188
2021-07-03 07:33:33,822 DEBUG                  - depth 0, hash b0e1b80, HEAD~108
2021-07-03 07:33:33,828 DEBUG                  - depth 1, hash 9b2b803, HEAD~287
2021-07-03 07:33:33,832 DEBUG                  - depth 2, hash 347bbeb, HEAD~296
2021-07-03 07:33:33,836 DEBUG                  - depth 3, hash 0c281fb, HEAD~299
2021-07-03 07:33:33,840 DEBUG                  - depth 4, hash 83b7ceb, HEAD~338
2021-07-03 07:33:33,844 DEBUG                  - depth 5, hash f9df518, HEAD~339
2021-07-03 07:33:33,848 DEBUG                  - depth 6, hash 5aa47b7, HEAD~344
2021-07-03 07:33:33,852 DEBUG                  - depth 7, hash 4cca25d, HEAD~367
2021-07-03 07:33:33,856 DEBUG                  - depth 8, hash aae50c5, HEAD~370
2021-07-03 07:33:34,222 DEBUG    [line range] org/apache/commons/cli/Option.java <init> 55:55
2021-07-03 07:33:34,239 DEBUG                  - depth 0, hash beb276c, HEAD~292
2021-07-03 07:33:34,244 DEBUG                  - depth 1, hash 62670f5, HEAD~320
2021-07-03 07:33:34,248 DEBUG    [line range] org/apache/commons/cli/Option.java clearValues 665:667
2021-07-03 07:33:34,264 DEBUG                  - depth 0, hash c155ceb, HEAD~106
2021-07-03 07:33:34,269 DEBUG    [line range] org/apache/commons/cli/Option.java clone 648:656
2021-07-03 07:33:34,283 DEBUG                  - depth 0, hash 4cf1b71, HEAD~68
2021-07-03 07:33:34,288 DEBUG                  - depth 1, hash 1545ae4, HEAD~73
2021-07-03 07:33:34,292 DEBUG    [line range] org/apache/commons/cli/Option.java equals 604:628
2021-07-03 07:33:34,307 DEBUG                  - depth 0, hash b0e1b80, HEAD~108
2021-07-03 07:33:34,312 DEBUG    [line range] org/apache/commons/cli/Option.java getKey 159:168
2021-07-03 07:33:34,328 DEBUG                  - depth 0, hash 9b2b803, HEAD~287
2021-07-03 07:33:34,333 DEBUG                  - depth 1, hash 347bbeb, HEAD~296
2021-07-03 07:33:34,337 DEBUG    [line range] org/apache/commons/cli/Option.java getLongOpt 210:213
2021-07-03 07:33:34,355 DEBUG                  - depth 0, hash 9b2b803, HEAD~287
2021-07-03 07:33:34,360 DEBUG                  - depth 1, hash aae50c5, HEAD~370
