2021-07-03 18:51:06,970 INFO     Search BICs for /tmp/Closure-164b/
2021-07-03 18:51:06,970 DEBUG    Reading the coverage of com.google.javascript.rhino.jstype.FunctionTypeTest::testSupAndInfOfReturnTypesWithNumOfParams (failings)
2021-07-03 18:51:07,171 DEBUG    Reading the coverage of com.google.javascript.jscomp.TypeCheckTest::testMethodInference7 (failings)
2021-07-03 18:51:07,929 DEBUG    Reading the coverage of com.google.javascript.jscomp.LooseTypeCheckTest::testMethodInference7 (failings)
2021-07-03 18:51:08,693 INFO     Loaded 3x4517 Coverage Matrix
2021-07-03 18:51:08,694 INFO     The number of total commits: 1619
2021-07-03 18:51:09,237 DEBUG    [line range] com/google/javascript/rhino/Node.java <init> 360:364
2021-07-03 18:51:09,361 DEBUG                  - depth 0, hash 4385971, HEAD~1462
2021-07-03 18:51:09,367 DEBUG                  - depth 1, hash 7efb21a, HEAD~1614
2021-07-03 18:51:09,371 DEBUG                  - depth 2, hash 6b49cfd, HEAD~1617
2021-07-03 18:51:09,375 DEBUG    [line range] com/google/javascript/rhino/Node.java addChildToBack 607:618
2021-07-03 18:51:09,498 DEBUG                  - depth 0, hash 4385971, HEAD~1462
2021-07-03 18:51:09,503 DEBUG                  - depth 1, hash 6b49cfd, HEAD~1617
2021-07-03 18:51:09,507 DEBUG    [line range] com/google/javascript/rhino/Node.java createProp 860:862
2021-07-03 18:51:09,619 DEBUG                  - depth 0, hash e42c68a, HEAD~503
2021-07-03 18:51:09,624 DEBUG    [line range] com/google/javascript/rhino/Node.java getBooleanProp 808:810
2021-07-03 18:51:09,748 DEBUG                  - depth 0, hash c9e8972, HEAD~1411
2021-07-03 18:51:09,753 DEBUG                  - depth 1, hash 4385971, HEAD~1462
2021-07-03 18:51:09,757 DEBUG                  - depth 2, hash 6b49cfd, HEAD~1617
2021-07-03 18:51:09,761 DEBUG    [line range] com/google/javascript/rhino/Node.java getFirstChild 539:541
2021-07-03 18:51:09,883 DEBUG                  - depth 0, hash 4385971, HEAD~1462
2021-07-03 18:51:09,888 DEBUG                  - depth 1, hash 6b49cfd, HEAD~1617
2021-07-03 18:51:09,892 DEBUG    [line range] com/google/javascript/rhino/Node.java getIntProp 816:822
2021-07-03 18:51:10,014 DEBUG                  - depth 0, hash e42c68a, HEAD~503
2021-07-03 18:51:10,019 DEBUG                  - depth 1, hash c9e8972, HEAD~1411
2021-07-03 18:51:10,023 DEBUG                  - depth 2, hash 4385971, HEAD~1462
2021-07-03 18:51:10,027 DEBUG                  - depth 3, hash 6b49cfd, HEAD~1617
2021-07-03 18:51:10,031 DEBUG    [line range] com/google/javascript/rhino/Node.java getJSType 1808:1810
2021-07-03 18:51:10,152 DEBUG                  - depth 0, hash 4385971, HEAD~1462
2021-07-03 18:51:10,157 DEBUG                  - depth 1, hash 66485d3, HEAD~1569
2021-07-03 18:51:10,162 DEBUG    [line range] com/google/javascript/rhino/Node.java getLastChild 543:545
2021-07-03 18:51:10,288 DEBUG                  - depth 0, hash 4385971, HEAD~1462
2021-07-03 18:51:10,293 DEBUG                  - depth 1, hash 6b49cfd, HEAD~1617
2021-07-03 18:51:10,297 DEBUG    [line range] com/google/javascript/rhino/Node.java getNext 547:549
2021-07-03 18:51:10,423 DEBUG                  - depth 0, hash 4385971, HEAD~1462
2021-07-03 18:51:10,429 DEBUG                  - depth 1, hash 6b49cfd, HEAD~1617
2021-07-03 18:51:10,433 DEBUG    [line range] com/google/javascript/rhino/Node.java isOptionalArg 1893:1895
2021-07-03 18:51:10,558 DEBUG                  - depth 0, hash 4385971, HEAD~1462
2021-07-03 18:51:10,564 DEBUG                  - depth 1, hash 66485d3, HEAD~1569
2021-07-03 18:51:10,568 DEBUG    [line range] com/google/javascript/rhino/Node.java isVarArgs 1875:1877
2021-07-03 18:51:10,689 DEBUG                  - depth 0, hash 4385971, HEAD~1462
2021-07-03 18:51:10,694 DEBUG                  - depth 1, hash 66485d3, HEAD~1569
2021-07-03 18:51:10,699 DEBUG    [line range] com/google/javascript/rhino/Node.java lookupProperty 745:752
2021-07-03 18:51:10,822 DEBUG                  - depth 0, hash e42c68a, HEAD~503
2021-07-03 18:51:10,827 DEBUG                  - depth 1, hash c9e8972, HEAD~1411
2021-07-03 18:51:10,832 DEBUG                  - depth 2, hash 4385971, HEAD~1462
2021-07-03 18:51:10,836 DEBUG                  - depth 3, hash 6b49cfd, HEAD~1617
2021-07-03 18:51:10,840 DEBUG    [line range] com/google/javascript/rhino/Node.java newString 515:517
2021-07-03 18:51:10,963 DEBUG                  - depth 0, hash 4385971, HEAD~1462
2021-07-03 18:51:10,968 DEBUG                  - depth 1, hash 6b49cfd, HEAD~1617
2021-07-03 18:51:10,972 DEBUG    [line range] com/google/javascript/rhino/Node.java putBooleanProp 845:847
2021-07-03 18:51:11,100 DEBUG                  - depth 0, hash c9e8972, HEAD~1411
2021-07-03 18:51:11,105 DEBUG                  - depth 1, hash 4385971, HEAD~1462
2021-07-03 18:51:11,109 DEBUG                  - depth 2, hash 6b49cfd, HEAD~1617
2021-07-03 18:51:11,113 DEBUG    [line range] com/google/javascript/rhino/Node.java putIntProp 849:854
2021-07-03 18:51:11,236 DEBUG                  - depth 0, hash e42c68a, HEAD~503
2021-07-03 18:51:11,241 DEBUG                  - depth 1, hash c9e8972, HEAD~1411
2021-07-03 18:51:11,245 DEBUG                  - depth 2, hash 4385971, HEAD~1462
2021-07-03 18:51:11,249 DEBUG                  - depth 3, hash 6b49cfd, HEAD~1617
2021-07-03 18:51:11,253 DEBUG    [line range] com/google/javascript/rhino/Node.java removeProp 768:773
2021-07-03 18:51:11,377 DEBUG                  - depth 0, hash c9e8972, HEAD~1411
2021-07-03 18:51:11,382 DEBUG                  - depth 1, hash 4385971, HEAD~1462
2021-07-03 18:51:11,386 DEBUG                  - depth 2, hash 6b49cfd, HEAD~1617
2021-07-03 18:51:11,390 DEBUG    [line range] com/google/javascript/rhino/Node.java removeProp 781:794
2021-07-03 18:51:11,517 DEBUG                  - depth 0, hash 04a9097, HEAD~493
2021-07-03 18:51:11,522 DEBUG                  - depth 1, hash e42c68a, HEAD~503
2021-07-03 18:51:11,526 DEBUG                  - depth 2, hash c9e8972, HEAD~1411
2021-07-03 18:51:11,530 DEBUG                  - depth 3, hash 4385971, HEAD~1462
2021-07-03 18:51:11,534 DEBUG                  - depth 4, hash 6b49cfd, HEAD~1617
2021-07-03 18:51:11,539 DEBUG    [line range] com/google/javascript/rhino/Node.java setJSType 1812:1814
2021-07-03 18:51:11,664 DEBUG                  - depth 0, hash 4385971, HEAD~1462
2021-07-03 18:51:11,669 DEBUG                  - depth 1, hash 66485d3, HEAD~1569
2021-07-03 18:51:11,673 DEBUG    [line range] com/google/javascript/rhino/Node.java setOptionalArg 1884:1886
2021-07-03 18:51:11,794 DEBUG                  - depth 0, hash 4385971, HEAD~1462
2021-07-03 18:51:11,799 DEBUG                  - depth 1, hash 66485d3, HEAD~1569
2021-07-03 18:51:11,804 DEBUG    [line range] com/google/javascript/rhino/Node.java setVarArgs 1866:1868
2021-07-03 18:51:11,926 DEBUG                  - depth 0, hash 4385971, HEAD~1462
2021-07-03 18:51:11,931 DEBUG                  - depth 1, hash 66485d3, HEAD~1569
2021-07-03 18:51:11,936 DEBUG    [line range] com/google/javascript/rhino/Node.java <init> 276:279
2021-07-03 18:51:12,064 DEBUG                  - depth 0, hash e42c68a, HEAD~503
2021-07-03 18:51:12,069 DEBUG                  - depth 1, hash c9e8972, HEAD~1411
2021-07-03 18:51:12,073 DEBUG                  - depth 2, hash 4385971, HEAD~1462
2021-07-03 18:51:12,078 DEBUG                  - depth 3, hash 7efb21a, HEAD~1614
2021-07-03 18:51:12,082 DEBUG                  - depth 4, hash 6b49cfd, HEAD~1617
2021-07-03 18:51:12,086 DEBUG    [line range] com/google/javascript/rhino/Node.java <init> 334:337
2021-07-03 18:51:12,200 DEBUG                  - depth 0, hash e42c68a, HEAD~503
2021-07-03 18:51:12,206 DEBUG    [line range] com/google/javascript/rhino/Node.java <init> 195:201
2021-07-03 18:51:12,332 DEBUG                  - depth 0, hash 4385971, HEAD~1462
2021-07-03 18:51:12,338 DEBUG                  - depth 1, hash 6b49cfd, HEAD~1617
2021-07-03 18:51:12,637 DEBUG    [line range] com/google/javascript/rhino/jstype/AllType.java <init> 52:54
2021-07-03 18:51:12,741 DEBUG                  - depth 0, hash 6b49cfd, HEAD~1617
2021-07-03 18:51:12,747 DEBUG    [line range] com/google/javascript/rhino/jstype/AllType.java isAllType 56:59
2021-07-03 18:51:12,850 DEBUG                  - depth 0, hash 6b49cfd, HEAD~1617
2021-07-03 18:51:13,212 DEBUG    [line range] com/google/javascript/rhino/jstype/ArrowType.java <init> 62:65
2021-07-03 18:51:13,317 DEBUG                  - depth 0, hash a9757e8, HEAD~1434
2021-07-03 18:51:13,323 DEBUG                  - depth 1, hash 6b49cfd, HEAD~1617
2021-07-03 18:51:13,327 DEBUG    [line range] com/google/javascript/rhino/jstype/ArrowType.java <init> 67:77
2021-07-03 18:51:13,431 DEBUG                  - depth 0, hash a9757e8, HEAD~1434
2021-07-03 18:51:13,436 DEBUG                  - depth 1, hash 97bbbff, HEAD~1439
2021-07-03 18:51:13,440 DEBUG                  - depth 2, hash 6b49cfd, HEAD~1617
2021-07-03 18:51:13,444 DEBUG    [line range] com/google/javascript/rhino/jstype/ArrowType.java hasEqualParameters 146:169
2021-07-03 18:51:13,550 DEBUG                  - depth 0, hash cf5fd88, HEAD~1427
2021-07-03 18:51:13,555 DEBUG                  - depth 1, hash a9757e8, HEAD~1434
2021-07-03 18:51:13,559 DEBUG                  - depth 2, hash 97bbbff, HEAD~1439
2021-07-03 18:51:13,563 DEBUG                  - depth 3, hash 6b49cfd, HEAD~1617
2021-07-03 18:51:13,567 DEBUG    [line range] com/google/javascript/rhino/jstype/ArrowType.java hasUnknownParamsOrReturn 243:254
2021-07-03 18:51:13,675 DEBUG                  - depth 0, hash 83026ba, HEAD~1163
2021-07-03 18:51:13,681 DEBUG    [line range] com/google/javascript/rhino/jstype/ArrowType.java isEquivalentTo 171:182
2021-07-03 18:51:13,785 DEBUG                  - depth 0, hash 2c90b14, HEAD~770
2021-07-03 18:51:13,790 DEBUG                  - depth 1, hash cf5fd88, HEAD~1427
2021-07-03 18:51:13,794 DEBUG                  - depth 2, hash a9757e8, HEAD~1434
2021-07-03 18:51:13,798 DEBUG                  - depth 3, hash 6b49cfd, HEAD~1617
2021-07-03 18:51:13,802 DEBUG    [line range] com/google/javascript/rhino/jstype/ArrowType.java isSubtype 79:140
2021-07-03 18:51:13,907 DEBUG                  - depth 0, hash 97bbbff, HEAD~1439
2021-07-03 18:51:13,913 DEBUG                  - depth 1, hash 6b49cfd, HEAD~1617
2021-07-03 18:51:14,218 DEBUG    [line range] com/google/javascript/rhino/jstype/BooleanType.java <init> 52:54
2021-07-03 18:51:14,323 DEBUG                  - depth 0, hash 6b49cfd, HEAD~1617
2021-07-03 18:51:14,328 DEBUG    [line range] com/google/javascript/rhino/jstype/BooleanType.java getDisplayName 106:109
2021-07-03 18:51:14,432 DEBUG                  - depth 0, hash 8a76da2, HEAD~1061
2021-07-03 18:51:14,437 DEBUG                  - depth 1, hash 6b49cfd, HEAD~1617
2021-07-03 18:51:14,441 DEBUG    [line range] com/google/javascript/rhino/jstype/BooleanType.java toStringHelper 101:104
2021-07-03 18:51:14,545 DEBUG                  - depth 0, hash 342d124, HEAD~15
2021-07-03 18:51:14,550 DEBUG                  - depth 1, hash 8a76da2, HEAD~1061
2021-07-03 18:51:14,555 DEBUG                  - depth 2, hash 6b49cfd, HEAD~1617
2021-07-03 18:51:14,845 DEBUG    [line range] com/google/javascript/rhino/jstype/ErrorFunctionType.java <init> 50:74
2021-07-03 18:51:14,950 DEBUG                  - depth 0, hash e3bcc1c, HEAD~1460
2021-07-03 18:51:14,956 DEBUG                  - depth 1, hash 6b49cfd, HEAD~1617
2021-07-03 18:51:15,272 DEBUG    [line range] com/google/javascript/rhino/jstype/FunctionBuilder.java <init> 54:54
2021-07-03 18:51:15,376 DEBUG                  - depth 0, hash e3bcc1c, HEAD~1460
2021-07-03 18:51:15,382 DEBUG    [line range] com/google/javascript/rhino/jstype/FunctionBuilder.java build 158:162
2021-07-03 18:51:15,486 DEBUG                  - depth 0, hash a9757e8, HEAD~1434
2021-07-03 18:51:15,491 DEBUG                  - depth 1, hash e3bcc1c, HEAD~1460
2021-07-03 18:51:15,495 DEBUG    [line range] com/google/javascript/rhino/jstype/FunctionBuilder.java withParamsNode 89:92
2021-07-03 18:51:15,599 DEBUG                  - depth 0, hash e3bcc1c, HEAD~1460
2021-07-03 18:51:15,605 DEBUG    [line range] com/google/javascript/rhino/jstype/FunctionBuilder.java withReturnType 95:98
2021-07-03 18:51:15,709 DEBUG                  - depth 0, hash e3bcc1c, HEAD~1460
2021-07-03 18:51:16,009 DEBUG    [line range] com/google/javascript/rhino/jstype/FunctionParamBuilder.java <init> 52:52
2021-07-03 18:51:16,113 DEBUG                  - depth 0, hash 5524adb, HEAD~148
2021-07-03 18:51:16,119 DEBUG                  - depth 1, hash 6b49cfd, HEAD~1617
2021-07-03 18:51:16,123 DEBUG    [line range] com/google/javascript/rhino/jstype/FunctionParamBuilder.java addOptionalParams 79:88
2021-07-03 18:51:16,231 DEBUG                  - depth 0, hash 6b49cfd, HEAD~1617
2021-07-03 18:51:16,236 DEBUG    [line range] com/google/javascript/rhino/jstype/FunctionParamBuilder.java addRequiredParams 62:71
2021-07-03 18:51:16,340 DEBUG                  - depth 0, hash 6b49cfd, HEAD~1617
2021-07-03 18:51:16,345 DEBUG    [line range] com/google/javascript/rhino/jstype/FunctionParamBuilder.java addVarArgs 94:109
2021-07-03 18:51:16,449 DEBUG                  - depth 0, hash 6b49cfd, HEAD~1617
2021-07-03 18:51:16,455 DEBUG    [line range] com/google/javascript/rhino/jstype/FunctionParamBuilder.java build 129:131
2021-07-03 18:51:16,559 DEBUG                  - depth 0, hash 6b49cfd, HEAD~1617
2021-07-03 18:51:16,564 DEBUG    [line range] com/google/javascript/rhino/jstype/FunctionParamBuilder.java hasOptionalOrVarArgs 133:137
2021-07-03 18:51:16,668 DEBUG                  - depth 0, hash 6b49cfd, HEAD~1617
2021-07-03 18:51:16,674 DEBUG    [line range] com/google/javascript/rhino/jstype/FunctionParamBuilder.java hasVarArgs 139:142
2021-07-03 18:51:16,779 DEBUG                  - depth 0, hash 6b49cfd, HEAD~1617
2021-07-03 18:51:16,784 DEBUG    [line range] com/google/javascript/rhino/jstype/FunctionParamBuilder.java newParameter 122:127
2021-07-03 18:51:16,888 DEBUG                  - depth 0, hash 6b49cfd, HEAD~1617
2021-07-03 18:51:17,370 DEBUG    [line range] com/google/javascript/rhino/jstype/FunctionType.java <init> 110:110
2021-07-03 18:51:17,483 DEBUG                  - depth 0, hash 4014ddc, HEAD~1579
2021-07-03 18:51:17,489 DEBUG                  - depth 1, hash 6b49cfd, HEAD~1617
2021-07-03 18:51:17,493 DEBUG    [line range] com/google/javascript/rhino/jstype/FunctionType.java <init> 130:153
2021-07-03 18:51:17,605 DEBUG                  - depth 0, hash febdacb, HEAD~239
2021-07-03 18:51:17,611 DEBUG                  - depth 1, hash e9f7e61, HEAD~1040
2021-07-03 18:51:17,615 DEBUG                  - depth 2, hash a9757e8, HEAD~1434
2021-07-03 18:51:17,619 DEBUG                  - depth 3, hash e3bcc1c, HEAD~1460
2021-07-03 18:51:17,623 DEBUG                  - depth 4, hash 6b49cfd, HEAD~1617
2021-07-03 18:51:17,627 DEBUG    [line range] com/google/javascript/rhino/jstype/FunctionType.java getInternalArrowType 274:276
2021-07-03 18:51:17,739 DEBUG                  - depth 0, hash e3bcc1c, HEAD~1460
2021-07-03 18:51:17,744 DEBUG    [line range] com/google/javascript/rhino/jstype/FunctionType.java getPrototype 308:320
2021-07-03 18:51:17,856 DEBUG                  - depth 0, hash 5c695ce, HEAD~298
2021-07-03 18:51:17,872 DEBUG                  - depth 1, hash 5fa514b, HEAD~333
2021-07-03 18:51:17,877 DEBUG                  - depth 2, hash 6b49cfd, HEAD~1617
2021-07-03 18:51:17,881 DEBUG    [line range] com/google/javascript/rhino/jstype/FunctionType.java isConstructor 182:185
2021-07-03 18:51:17,993 DEBUG                  - depth 0, hash 6b49cfd, HEAD~1617
2021-07-03 18:51:17,999 DEBUG    [line range] com/google/javascript/rhino/jstype/FunctionType.java isInterface 187:190
2021-07-03 18:51:18,111 DEBUG                  - depth 0, hash 6b49cfd, HEAD~1617
2021-07-03 18:51:18,117 DEBUG    [line range] com/google/javascript/rhino/jstype/FunctionType.java isOrdinaryFunction 192:195
2021-07-03 18:51:18,228 DEBUG                  - depth 0, hash 6b49cfd, HEAD~1617
2021-07-03 18:51:18,234 DEBUG    [line range] com/google/javascript/rhino/jstype/FunctionType.java setPrototype 365:408
