2021-07-03 20:15:19,929 INFO     Search BICs for /tmp/Codec-11b/
2021-07-03 20:15:19,929 DEBUG    Reading the coverage of org.apache.commons.codec.net.QuotedPrintableCodecTest::testSoftLineBreakDecode (failings)
2021-07-03 20:15:19,931 DEBUG    Reading the coverage of org.apache.commons.codec.net.QuotedPrintableCodecTest::testTrailingSpecial (failings)
2021-07-03 20:15:19,932 DEBUG    Reading the coverage of org.apache.commons.codec.net.QuotedPrintableCodecTest::testSoftLineBreakEncode (failings)
2021-07-03 20:15:19,933 DEBUG    Reading the coverage of org.apache.commons.codec.net.QuotedPrintableCodecTest::testSkipNotEncodedCRLF (failings)
2021-07-03 20:15:19,934 DEBUG    Reading the coverage of org.apache.commons.codec.net.QuotedPrintableCodecTest::testUltimateSoftBreak (failings)
2021-07-03 20:15:19,936 INFO     Loaded 5x62 Coverage Matrix
2021-07-03 20:15:19,936 INFO     The number of total commits: 938
2021-07-03 20:15:20,224 DEBUG    [line range] org/apache/commons/codec/DecoderException.java <init> 53:55
2021-07-03 20:15:20,257 DEBUG                  - depth 0, hash f9867d5, HEAD~420
2021-07-03 20:15:20,263 DEBUG                  - depth 1, hash 8162144, HEAD~890
2021-07-03 20:15:20,267 DEBUG                  - depth 2, hash 71205dd, HEAD~936
2021-07-03 20:15:20,571 DEBUG    [line range] org/apache/commons/codec/binary/StringUtils.java getBytesUnchecked 151:160
2021-07-03 20:15:20,608 DEBUG                  - depth 0, hash b3607d8, HEAD~374
2021-07-03 20:15:20,614 DEBUG                  - depth 1, hash e17d5c5, HEAD~390
2021-07-03 20:15:20,618 DEBUG                  - depth 2, hash 20a88d9, HEAD~406
2021-07-03 20:15:20,622 DEBUG                  - depth 3, hash d6ce22b, HEAD~443
2021-07-03 20:15:20,626 DEBUG                  - depth 4, hash 4d67ff2, HEAD~444
2021-07-03 20:15:20,630 DEBUG    [line range] org/apache/commons/codec/binary/StringUtils.java getBytesUsAscii 64:66
2021-07-03 20:15:20,667 DEBUG                  - depth 0, hash b3607d8, HEAD~374
2021-07-03 20:15:20,672 DEBUG                  - depth 1, hash 20a88d9, HEAD~406
2021-07-03 20:15:20,676 DEBUG                  - depth 2, hash a952f09, HEAD~409
2021-07-03 20:15:20,680 DEBUG                  - depth 3, hash d6ce22b, HEAD~443
2021-07-03 20:15:20,684 DEBUG                  - depth 4, hash 4d67ff2, HEAD~444
2021-07-03 20:15:21,048 DEBUG    [line range] org/apache/commons/codec/net/QuotedPrintableCodec.java <clinit> 72:72
2021-07-03 20:15:21,085 DEBUG                  - depth 0, hash 8fe4269, HEAD~723
2021-07-03 20:15:21,090 DEBUG                  - depth 1, hash 7654453, HEAD~735
2021-07-03 20:15:21,094 DEBUG    [line range] org/apache/commons/codec/net/QuotedPrintableCodec.java <init> 95:97
2021-07-03 20:15:21,132 DEBUG                  - depth 0, hash a952f09, HEAD~409
2021-07-03 20:15:21,137 DEBUG                  - depth 1, hash 4d67ff2, HEAD~444
2021-07-03 20:15:21,141 DEBUG                  - depth 2, hash 6f16107, HEAD~512
2021-07-03 20:15:21,146 DEBUG                  - depth 3, hash 7654453, HEAD~735
2021-07-03 20:15:21,150 DEBUG    [line range] org/apache/commons/codec/net/QuotedPrintableCodec.java <init> 105:108
2021-07-03 20:15:21,187 DEBUG                  - depth 0, hash 7654453, HEAD~735
2021-07-03 20:15:21,193 DEBUG    [line range] org/apache/commons/codec/net/QuotedPrintableCodec.java decode 295:304
2021-07-03 20:15:21,230 DEBUG                  - depth 0, hash 695754b, HEAD~415
2021-07-03 20:15:21,235 DEBUG                  - depth 1, hash 8fe4269, HEAD~723
2021-07-03 20:15:21,239 DEBUG                  - depth 2, hash 7654453, HEAD~735
2021-07-03 20:15:21,243 DEBUG    [line range] org/apache/commons/codec/net/QuotedPrintableCodec.java decode 276:281
2021-07-03 20:15:21,281 DEBUG                  - depth 0, hash 20a88d9, HEAD~406
2021-07-03 20:15:21,287 DEBUG                  - depth 1, hash 4d67ff2, HEAD~444
2021-07-03 20:15:21,291 DEBUG                  - depth 2, hash 6d998a1, HEAD~655
2021-07-03 20:15:21,295 DEBUG                  - depth 3, hash 8fe4269, HEAD~723
2021-07-03 20:15:21,299 DEBUG                  - depth 4, hash 7654453, HEAD~735
2021-07-03 20:15:21,303 DEBUG    [line range] org/apache/commons/codec/net/QuotedPrintableCodec.java decode 230:232
2021-07-03 20:15:21,340 DEBUG                  - depth 0, hash 8fe4269, HEAD~723
2021-07-03 20:15:21,346 DEBUG                  - depth 1, hash 7654453, HEAD~735
2021-07-03 20:15:21,350 DEBUG    [line range] org/apache/commons/codec/net/QuotedPrintableCodec.java decodeQuotedPrintable 177:197
2021-07-03 20:15:21,387 DEBUG                  - depth 0, hash 91a01c9, HEAD~414
2021-07-03 20:15:21,392 DEBUG                  - depth 1, hash 8fe4269, HEAD~723
