2021-07-03 20:21:19,288 INFO     Search BICs for /tmp/Collections-26b/
2021-07-03 20:21:19,288 DEBUG    Reading the coverage of org.apache.commons.collections4.keyvalue.MultiKeyTest::testEqualsAfterSerializationOfDerivedClass (failings)
2021-07-03 20:21:19,289 INFO     Loaded 1x15 Coverage Matrix
2021-07-03 20:21:19,290 INFO     The number of total commits: 2803
2021-07-03 20:21:19,658 DEBUG    [line range] org/apache/commons/collections4/keyvalue/MultiKey.java <init> 65:68
2021-07-03 20:21:19,793 DEBUG                  - depth 0, hash 9aea104, HEAD~634
2021-07-03 20:21:19,798 DEBUG                  - depth 1, hash d16bc85, HEAD~1119
2021-07-03 20:21:19,803 DEBUG                  - depth 2, hash 5457ede, HEAD~1847
2021-07-03 20:21:19,807 DEBUG    [line range] org/apache/commons/collections4/keyvalue/MultiKey.java <init> 157:169
2021-07-03 20:21:19,943 DEBUG                  - depth 0, hash 9aea104, HEAD~634
2021-07-03 20:21:19,948 DEBUG                  - depth 1, hash d16bc85, HEAD~1119
2021-07-03 20:21:19,952 DEBUG                  - depth 2, hash d887c59, HEAD~1192
2021-07-03 20:21:19,956 DEBUG                  - depth 3, hash 320589d, HEAD~1662
2021-07-03 20:21:19,960 DEBUG                  - depth 4, hash 5457ede, HEAD~1847
2021-07-03 20:21:19,965 DEBUG    [line range] org/apache/commons/collections4/keyvalue/MultiKey.java calculateHashCode 260:269
2021-07-03 20:21:20,099 DEBUG                  - depth 0, hash 9aea104, HEAD~634
2021-07-03 20:21:20,104 DEBUG                  - depth 1, hash 745dd66, HEAD~640
2021-07-03 20:21:20,108 DEBUG                  - depth 2, hash ce5d208, HEAD~1163
2021-07-03 20:21:20,113 DEBUG                  - depth 3, hash d887c59, HEAD~1192
2021-07-03 20:21:20,117 DEBUG    [line range] org/apache/commons/collections4/keyvalue/MultiKey.java hashCode 241:244
2021-07-03 20:21:20,256 DEBUG                  - depth 0, hash 5cabc0f, HEAD~931
2021-07-03 20:21:20,261 DEBUG                  - depth 1, hash 5457ede, HEAD~1847
2021-07-03 20:21:20,265 INFO     The number of BIC candidates: 8
