2021-07-03 20:28:00,479 INFO     Search BICs for /tmp/Compress-10b/
2021-07-03 20:28:00,480 DEBUG    Reading the coverage of org.apache.commons.compress.archivers.zip.UTF8ZipFilesTest::testReadWinZipArchive (failings)
2021-07-03 20:28:00,514 INFO     Loaded 1x524 Coverage Matrix
2021-07-03 20:28:00,514 INFO     The number of total commits: 944
2021-07-03 20:28:00,846 DEBUG    [single line]   org/apache/commons/compress/archivers/ArchiveStreamFactory.java <init> 74
2021-07-03 20:28:00,880 DEBUG                  - depth 0, hash 6a70323, HEAD~821
2021-07-03 20:28:00,886 DEBUG                  - depth 1, hash ca16539, HEAD~831
2021-07-03 20:28:01,229 DEBUG    [line range] org/apache/commons/compress/archivers/zip/AbstractUnicodeExtraField.java <init> 34:35
2021-07-03 20:28:01,260 DEBUG                  - depth 0, hash 4e2380b, HEAD~772
2021-07-03 20:28:01,265 DEBUG    [line range] org/apache/commons/compress/archivers/zip/AbstractUnicodeExtraField.java assembleData 73:83
2021-07-03 20:28:01,297 DEBUG                  - depth 0, hash 4e2380b, HEAD~772
2021-07-03 20:28:01,302 DEBUG    [line range] org/apache/commons/compress/archivers/zip/AbstractUnicodeExtraField.java getCentralDirectoryData 129:139
2021-07-03 20:28:01,334 DEBUG                  - depth 0, hash 4aea7b2, HEAD~124
2021-07-03 20:28:01,339 DEBUG                  - depth 1, hash 4e2380b, HEAD~772
2021-07-03 20:28:01,343 DEBUG    [line range] org/apache/commons/compress/archivers/zip/AbstractUnicodeExtraField.java getCentralDirectoryLength 142:147
2021-07-03 20:28:01,375 DEBUG                  - depth 0, hash 4e2380b, HEAD~772
2021-07-03 20:28:01,380 DEBUG    [line range] org/apache/commons/compress/archivers/zip/AbstractUnicodeExtraField.java getLocalFileDataData 150:152
2021-07-03 20:28:01,411 DEBUG                  - depth 0, hash 4e2380b, HEAD~772
2021-07-03 20:28:01,416 DEBUG    [line range] org/apache/commons/compress/archivers/zip/AbstractUnicodeExtraField.java getLocalFileDataLength 155:157
2021-07-03 20:28:01,447 DEBUG                  - depth 0, hash 4e2380b, HEAD~772
2021-07-03 20:28:01,452 DEBUG    [line range] org/apache/commons/compress/archivers/zip/AbstractUnicodeExtraField.java getNameCRC32 89:91
2021-07-03 20:28:01,483 DEBUG                  - depth 0, hash 4e2380b, HEAD~772
2021-07-03 20:28:01,488 DEBUG    [line range] org/apache/commons/compress/archivers/zip/AbstractUnicodeExtraField.java getUnicodeName 105:112
2021-07-03 20:28:01,520 DEBUG                  - depth 0, hash 4aea7b2, HEAD~124
2021-07-03 20:28:01,525 DEBUG                  - depth 1, hash 4e2380b, HEAD~772
2021-07-03 20:28:01,529 DEBUG    [line range] org/apache/commons/compress/archivers/zip/AbstractUnicodeExtraField.java parseFromCentralDirectoryData 184:188
2021-07-03 20:28:01,561 DEBUG                  - depth 0, hash dfbdfee, HEAD~739
2021-07-03 20:28:01,566 DEBUG    [line range] org/apache/commons/compress/archivers/zip/AbstractUnicodeExtraField.java parseFromLocalFileData 160:178
2021-07-03 20:28:01,597 DEBUG                  - depth 0, hash 7fce030, HEAD~454
2021-07-03 20:28:01,602 DEBUG                  - depth 1, hash 4e2380b, HEAD~772
2021-07-03 20:28:01,961 DEBUG    [line range] org/apache/commons/compress/archivers/zip/AsiExtraField.java <clinit> 55:55
2021-07-03 20:28:01,995 DEBUG                  - depth 0, hash ab9ebfc, HEAD~810
2021-07-03 20:28:02,000 DEBUG    [line range] org/apache/commons/compress/archivers/zip/AsiExtraField.java <init> 60:60
2021-07-03 20:28:02,034 DEBUG                  - depth 0, hash ab9ebfc, HEAD~810
2021-07-03 20:28:02,039 DEBUG                  - depth 1, hash 8822084, HEAD~902
2021-07-03 20:28:02,043 DEBUG    [line range] org/apache/commons/compress/archivers/zip/AsiExtraField.java getHeaderId 93:95
2021-07-03 20:28:02,078 DEBUG                  - depth 0, hash ab9ebfc, HEAD~810
2021-07-03 20:28:02,084 DEBUG                  - depth 1, hash 8822084, HEAD~902
2021-07-03 20:28:02,442 DEBUG    [single line]   org/apache/commons/compress/archivers/zip/ExtraFieldUtils.java <clinit> 41
2021-07-03 20:28:02,477 DEBUG                  - depth 0, hash e53e88a, HEAD~214
2021-07-03 20:28:02,483 DEBUG                  - depth 1, hash 2ae5e28, HEAD~805
2021-07-03 20:28:02,487 DEBUG                  - depth 2, hash ab9ebfc, HEAD~810
2021-07-03 20:28:02,491 DEBUG                  - depth 3, hash 8822084, HEAD~902
2021-07-03 20:28:02,495 DEBUG    [single line]   org/apache/commons/compress/archivers/zip/ExtraFieldUtils.java <clinit> 42
2021-07-03 20:28:02,529 DEBUG                  - depth 0, hash ab9ebfc, HEAD~810
2021-07-03 20:28:02,534 DEBUG                  - depth 1, hash 8822084, HEAD~902
2021-07-03 20:28:02,538 DEBUG    [single line]   org/apache/commons/compress/archivers/zip/ExtraFieldUtils.java <clinit> 43
2021-07-03 20:28:02,573 DEBUG                  - depth 0, hash ab9ebfc, HEAD~810
2021-07-03 20:28:02,579 DEBUG                  - depth 1, hash 8822084, HEAD~902
2021-07-03 20:28:02,583 DEBUG    [single line]   org/apache/commons/compress/archivers/zip/ExtraFieldUtils.java <clinit> 44
2021-07-03 20:28:02,618 DEBUG                  - depth 0, hash 4e2380b, HEAD~772
2021-07-03 20:28:02,623 DEBUG    [single line]   org/apache/commons/compress/archivers/zip/ExtraFieldUtils.java <clinit> 45
2021-07-03 20:28:02,657 DEBUG                  - depth 0, hash 4e2380b, HEAD~772
2021-07-03 20:28:02,663 DEBUG    [single line]   org/apache/commons/compress/archivers/zip/ExtraFieldUtils.java <clinit> 46
2021-07-03 20:28:02,698 DEBUG                  - depth 0, hash 60e2dec, HEAD~238
2021-07-03 20:28:02,703 DEBUG    [single line]   org/apache/commons/compress/archivers/zip/ExtraFieldUtils.java <clinit> 47
2021-07-03 20:28:02,737 DEBUG                  - depth 0, hash 8822084, HEAD~902
2021-07-03 20:28:02,742 DEBUG    [line range] org/apache/commons/compress/archivers/zip/ExtraFieldUtils.java createExtraField 77:86
