2021-07-03 20:51:22,323 INFO     Search BICs for /tmp/Csv-10b/
2021-07-03 20:51:22,323 DEBUG    Reading the coverage of org.apache.commons.csv.CSVPrinterTest::testHeader (failings)
2021-07-03 20:51:22,327 INFO     Loaded 1x85 Coverage Matrix
2021-07-03 20:51:22,327 INFO     The number of total commits: 803
2021-07-03 20:51:22,594 DEBUG    [line range] org/apache/commons/csv/Assertions.java notNull 31:35
2021-07-03 20:51:22,619 DEBUG                  - depth 0, hash 5941149, HEAD~63
2021-07-03 20:51:22,625 DEBUG                  - depth 1, hash 724c88d, HEAD~104
2021-07-03 20:51:22,629 DEBUG                  - depth 2, hash a2fef00, HEAD~106
2021-07-03 20:51:23,051 DEBUG    [line range] org/apache/commons/csv/CSVFormat.java <clinit> 174:175
2021-07-03 20:51:23,090 DEBUG                  - depth 0, hash 5db1a2c, HEAD~113
2021-07-03 20:51:23,096 DEBUG                  - depth 1, hash 97d3457, HEAD~168
2021-07-03 20:51:23,100 DEBUG                  - depth 2, hash 75f39a8, HEAD~180
2021-07-03 20:51:23,104 DEBUG                  - depth 3, hash 60cc83a, HEAD~233
2021-07-03 20:51:23,108 DEBUG                  - depth 4, hash 50e2719, HEAD~424
2021-07-03 20:51:23,112 DEBUG                  - depth 5, hash 42476f4, HEAD~665
2021-07-03 20:51:23,116 DEBUG                  - depth 6, hash 1166ca6, HEAD~676
2021-07-03 20:51:23,120 DEBUG                  - depth 7, hash eac54a2, HEAD~781
2021-07-03 20:51:23,125 DEBUG    [line range] org/apache/commons/csv/CSVFormat.java <init> 296:325
2021-07-03 20:51:23,160 DEBUG                  - depth 0, hash 16b175b, HEAD~4
2021-07-03 20:51:23,166 DEBUG                  - depth 1, hash 35d101c, HEAD~6
2021-07-03 20:51:23,170 DEBUG                  - depth 2, hash 692a1e3, HEAD~7
2021-07-03 20:51:23,174 DEBUG                  - depth 3, hash 5941149, HEAD~63
2021-07-03 20:51:23,178 DEBUG                  - depth 4, hash 97d3457, HEAD~168
2021-07-03 20:51:23,182 DEBUG                  - depth 5, hash 5a0894f, HEAD~192
2021-07-03 20:51:23,186 DEBUG                  - depth 6, hash ab2e7eb, HEAD~196
2021-07-03 20:51:23,190 DEBUG                  - depth 7, hash 75b9a4b, HEAD~232
2021-07-03 20:51:23,194 DEBUG                  - depth 8, hash 60cc83a, HEAD~233
2021-07-03 20:51:23,198 DEBUG                  - depth 9, hash db11c04, HEAD~323
2021-07-03 20:51:23,202 DEBUG                  - depth 10, hash 6a34b82, HEAD~333
2021-07-03 20:51:23,206 DEBUG                  - depth 11, hash 0030e1a, HEAD~385
2021-07-03 20:51:23,210 DEBUG    [line range] org/apache/commons/csv/CSVFormat.java getDelimiter 428:430
2021-07-03 20:51:23,243 DEBUG                  - depth 0, hash 60cc83a, HEAD~233
2021-07-03 20:51:23,249 DEBUG                  - depth 1, hash 759596a, HEAD~244
2021-07-03 20:51:23,253 DEBUG                  - depth 2, hash d10442b, HEAD~254
2021-07-03 20:51:23,257 DEBUG                  - depth 3, hash df08aca, HEAD~262
2021-07-03 20:51:23,261 DEBUG                  - depth 4, hash 6a34b82, HEAD~333
2021-07-03 20:51:23,265 DEBUG    [line range] org/apache/commons/csv/CSVFormat.java getRecordSeparator 510:512
2021-07-03 20:51:23,298 DEBUG                  - depth 0, hash 60cc83a, HEAD~233
2021-07-03 20:51:23,304 DEBUG                  - depth 1, hash db11c04, HEAD~323
2021-07-03 20:51:23,308 DEBUG                  - depth 2, hash 6a34b82, HEAD~333
2021-07-03 20:51:23,312 DEBUG    [line range] org/apache/commons/csv/CSVFormat.java isEscaping 559:561
2021-07-03 20:51:23,346 DEBUG                  - depth 0, hash 60cc83a, HEAD~233
2021-07-03 20:51:23,351 DEBUG                  - depth 1, hash 6a34b82, HEAD~333
2021-07-03 20:51:23,355 DEBUG    [line range] org/apache/commons/csv/CSVFormat.java isLineBreak 242:244
2021-07-03 20:51:23,396 DEBUG                  - depth 0, hash 9631efe, HEAD~122
2021-07-03 20:51:23,401 DEBUG                  - depth 1, hash 60cc83a, HEAD~233
2021-07-03 20:51:23,405 DEBUG                  - depth 2, hash 6a34b82, HEAD~333
2021-07-03 20:51:23,409 DEBUG                  - depth 3, hash 73ec29f, HEAD~339
2021-07-03 20:51:23,413 DEBUG                  - depth 4, hash 53f15f4, HEAD~379
2021-07-03 20:51:23,417 DEBUG                  - depth 5, hash 6e57364, HEAD~384
2021-07-03 20:51:23,422 DEBUG                  - depth 6, hash 0030e1a, HEAD~385
2021-07-03 20:51:23,426 DEBUG                  - depth 7, hash 53fd86d, HEAD~432
2021-07-03 20:51:23,430 DEBUG                  - depth 8, hash 6ab9b46, HEAD~441
2021-07-03 20:51:23,434 DEBUG                  - depth 9, hash 67bbc35, HEAD~444
2021-07-03 20:51:23,438 DEBUG                  - depth 10, hash 6c1b0fa, HEAD~459
2021-07-03 20:51:23,442 DEBUG                  - depth 11, hash 93fc1f9, HEAD~461
2021-07-03 20:51:23,446 DEBUG                  - depth 12, hash bf06bed, HEAD~464
2021-07-03 20:51:23,450 DEBUG                  - depth 13, hash 38741a4, HEAD~549
2021-07-03 20:51:23,455 DEBUG                  - depth 14, hash c9dedff, HEAD~584
2021-07-03 20:51:23,459 DEBUG                  - depth 15, hash aee6c50, HEAD~590
2021-07-03 20:51:23,463 DEBUG                  - depth 16, hash bbb2da1, HEAD~599
2021-07-03 20:51:23,467 DEBUG                  - depth 17, hash 740a1b6, HEAD~615
2021-07-03 20:51:23,471 DEBUG                  - depth 18, hash 194e21c, HEAD~633
2021-07-03 20:51:23,475 DEBUG                  - depth 19, hash 70337be, HEAD~654
2021-07-03 20:51:23,479 DEBUG                  - depth 20, hash cb99634, HEAD~664
2021-07-03 20:51:23,483 DEBUG                  - depth 21, hash 42476f4, HEAD~665
2021-07-03 20:51:23,488 DEBUG                  - depth 22, hash 43b777b, HEAD~670
2021-07-03 20:51:23,492 DEBUG                  - depth 23, hash 1166ca6, HEAD~676
2021-07-03 20:51:23,496 DEBUG                  - depth 24, hash 02b2146, HEAD~688
2021-07-03 20:51:23,500 DEBUG                  - depth 25, hash eac54a2, HEAD~781
2021-07-03 20:51:23,504 DEBUG    [line range] org/apache/commons/csv/CSVFormat.java isLineBreak 254:256
2021-07-03 20:51:23,531 DEBUG                  - depth 0, hash 9631efe, HEAD~122
2021-07-03 20:51:23,536 DEBUG                  - depth 1, hash 15b4e3f, HEAD~123
2021-07-03 20:51:23,540 DEBUG    [line range] org/apache/commons/csv/CSVFormat.java isQuoting 577:579
2021-07-03 20:51:23,573 DEBUG                  - depth 0, hash 60cc83a, HEAD~233
2021-07-03 20:51:23,578 DEBUG                  - depth 1, hash 6a34b82, HEAD~333
2021-07-03 20:51:23,582 DEBUG    [line range] org/apache/commons/csv/CSVFormat.java validate 656:686
2021-07-03 20:51:23,611 DEBUG                  - depth 0, hash 35d101c, HEAD~6
2021-07-03 20:51:23,616 DEBUG                  - depth 1, hash fcc0d15, HEAD~158
2021-07-03 20:51:23,620 DEBUG                  - depth 2, hash f881372, HEAD~170
2021-07-03 20:51:23,624 DEBUG                  - depth 3, hash 75f39a8, HEAD~180
2021-07-03 20:51:23,628 DEBUG    [line range] org/apache/commons/csv/CSVFormat.java withDelimiter 731:737
2021-07-03 20:51:23,657 DEBUG                  - depth 0, hash 97d3457, HEAD~168
2021-07-03 20:51:23,662 DEBUG                  - depth 1, hash 75f39a8, HEAD~180
2021-07-03 20:51:23,666 DEBUG    [line range] org/apache/commons/csv/CSVFormat.java withEscape 748:750
2021-07-03 20:51:23,694 DEBUG                  - depth 0, hash 75f39a8, HEAD~180
2021-07-03 20:51:23,700 DEBUG    [line range] org/apache/commons/csv/CSVFormat.java withEscape 761:767
2021-07-03 20:51:23,728 DEBUG                  - depth 0, hash 97d3457, HEAD~168
2021-07-03 20:51:23,733 DEBUG                  - depth 1, hash 75f39a8, HEAD~180
2021-07-03 20:51:23,738 DEBUG    [line range] org/apache/commons/csv/CSVFormat.java withHeader 786:789
2021-07-03 20:51:23,766 DEBUG                  - depth 0, hash 97d3457, HEAD~168
2021-07-03 20:51:23,771 DEBUG                  - depth 1, hash 75f39a8, HEAD~180
2021-07-03 20:51:23,776 DEBUG    [line range] org/apache/commons/csv/CSVFormat.java withIgnoreEmptyLines 799:802
2021-07-03 20:51:23,804 DEBUG                  - depth 0, hash 97d3457, HEAD~168
2021-07-03 20:51:23,810 DEBUG                  - depth 1, hash 75f39a8, HEAD~180
2021-07-03 20:51:23,814 DEBUG    [line range] org/apache/commons/csv/CSVFormat.java withIgnoreSurroundingSpaces 812:815
2021-07-03 20:51:23,843 DEBUG                  - depth 0, hash 97d3457, HEAD~168
2021-07-03 20:51:23,848 DEBUG                  - depth 1, hash 75f39a8, HEAD~180
2021-07-03 20:51:23,852 DEBUG    [line range] org/apache/commons/csv/CSVFormat.java withQuoteChar 859:865
2021-07-03 20:51:23,880 DEBUG                  - depth 0, hash 97d3457, HEAD~168
2021-07-03 20:51:23,886 DEBUG                  - depth 1, hash 75f39a8, HEAD~180
2021-07-03 20:51:23,890 DEBUG    [line range] org/apache/commons/csv/CSVFormat.java withRecordSeparator 888:890
2021-07-03 20:51:23,918 DEBUG                  - depth 0, hash 75f39a8, HEAD~180
2021-07-03 20:51:23,924 DEBUG    [line range] org/apache/commons/csv/CSVFormat.java withRecordSeparator 900:903
2021-07-03 20:51:23,952 DEBUG                  - depth 0, hash 97d3457, HEAD~168
2021-07-03 20:51:23,958 DEBUG                  - depth 1, hash 75f39a8, HEAD~180
2021-07-03 20:51:24,316 DEBUG    [line range] org/apache/commons/csv/CSVPrinter.java <init> 43:43
2021-07-03 20:51:24,345 DEBUG                  - depth 0, hash 6640e85, HEAD~219
2021-07-03 20:51:24,350 DEBUG                  - depth 1, hash d90fa38, HEAD~667
2021-07-03 20:51:24,354 DEBUG                  - depth 2, hash 1166ca6, HEAD~676
