2021-07-04 04:57:17,416 INFO     Search BICs for /tmp/JacksonXml-6b/
2021-07-04 04:57:17,416 DEBUG    Reading the coverage of com.fasterxml.jackson.dataformat.xml.ser.TestBinaryStreamToXMLSerialization::testWith1Byte (failings)
2021-07-04 04:57:17,436 DEBUG    Reading the coverage of com.fasterxml.jackson.dataformat.xml.ser.TestBinaryStreamToXMLSerialization::testWith2Bytes (failings)
2021-07-04 04:57:17,456 DEBUG    Reading the coverage of com.fasterxml.jackson.dataformat.xml.ser.TestBinaryStreamToXMLSerialization::testWith4Bytes (failings)
2021-07-04 04:57:17,476 DEBUG    Reading the coverage of com.fasterxml.jackson.dataformat.xml.ser.TestBinaryStreamToXMLSerialization::testWith3Bytes (failings)
2021-07-04 04:57:17,505 DEBUG    Reading the coverage of com.fasterxml.jackson.dataformat.xml.ser.TestBinaryStreamToXMLSerialization::testWith0Bytes (failings)
2021-07-04 04:57:17,525 INFO     Loaded 5x339 Coverage Matrix
2021-07-04 04:57:17,526 INFO     The number of total commits: 775
2021-07-04 04:57:17,856 DEBUG    [line range] com/fasterxml/jackson/dataformat/xml/JacksonXmlAnnotationIntrospector.java <init> 34:36
2021-07-04 04:57:17,881 DEBUG                  - depth 0, hash 4b5c9b7, HEAD~614
2021-07-04 04:57:17,886 DEBUG    [line range] com/fasterxml/jackson/dataformat/xml/JacksonXmlAnnotationIntrospector.java _findXmlName 198:205
2021-07-04 04:57:17,911 DEBUG                  - depth 0, hash ff0bf89, HEAD~619
2021-07-04 04:57:17,916 DEBUG    [line range] com/fasterxml/jackson/dataformat/xml/JacksonXmlAnnotationIntrospector.java findNameForDeserialization 162:175
2021-07-04 04:57:17,940 DEBUG                  - depth 0, hash ae52d11, HEAD~511
2021-07-04 04:57:17,946 DEBUG                  - depth 1, hash ff0bf89, HEAD~619
2021-07-04 04:57:17,950 DEBUG                  - depth 2, hash ac97422, HEAD~770
2021-07-04 04:57:17,954 DEBUG    [line range] com/fasterxml/jackson/dataformat/xml/JacksonXmlAnnotationIntrospector.java findNameForSerialization 147:160
2021-07-04 04:57:17,979 DEBUG                  - depth 0, hash ae52d11, HEAD~511
2021-07-04 04:57:17,984 DEBUG                  - depth 1, hash ff0bf89, HEAD~619
2021-07-04 04:57:17,988 DEBUG                  - depth 2, hash ac97422, HEAD~770
2021-07-04 04:57:17,993 DEBUG    [line range] com/fasterxml/jackson/dataformat/xml/JacksonXmlAnnotationIntrospector.java findNamespace 91:99
2021-07-04 04:57:18,018 DEBUG                  - depth 0, hash 754187e, HEAD~672
2021-07-04 04:57:18,023 DEBUG                  - depth 1, hash 09eec81, HEAD~768
2021-07-04 04:57:18,027 DEBUG                  - depth 2, hash ac97422, HEAD~770
