2021-07-04 05:04:15,319 INFO     Search BICs for /tmp/Jsoup-89b/
2021-07-04 05:04:15,319 DEBUG    Reading the coverage of org.jsoup.nodes.AttributeTest::settersOnOrphanAttribute (failings)
2021-07-04 05:04:15,322 INFO     Loaded 1x22 Coverage Matrix
2021-07-04 05:04:15,322 INFO     The number of total commits: 1215
2021-07-04 05:04:15,636 DEBUG    [line range] org/jsoup/helper/Validate.java notEmpty 90:93
2021-07-04 05:04:15,673 DEBUG                  - depth 0, hash 18e9a8f, HEAD~957
2021-07-04 05:04:15,679 DEBUG    [line range] org/jsoup/helper/Validate.java notNull 14:17
2021-07-04 05:04:15,714 DEBUG                  - depth 0, hash 18e9a8f, HEAD~957
2021-07-04 05:04:16,057 DEBUG    [line range] org/jsoup/nodes/Attribute.java <clinit> 15:20
2021-07-04 05:04:16,093 DEBUG                  - depth 0, hash 6c4f16f, HEAD~585
2021-07-04 05:04:16,098 DEBUG    [line range] org/jsoup/nodes/Attribute.java <init> 32:34
2021-07-04 05:04:16,134 DEBUG                  - depth 0, hash ea1fb65, HEAD~170
2021-07-04 05:04:16,140 DEBUG                  - depth 1, hash a29e8b5, HEAD~1199
2021-07-04 05:04:16,144 DEBUG    [line range] org/jsoup/nodes/Attribute.java <init> 42:49
2021-07-04 05:04:16,181 DEBUG                  - depth 0, hash 25ba713, HEAD~12
2021-07-04 05:04:16,186 DEBUG                  - depth 1, hash ea1fb65, HEAD~170
2021-07-04 05:04:16,190 DEBUG                  - depth 2, hash a623db7, HEAD~232
2021-07-04 05:04:16,194 DEBUG                  - depth 3, hash 6569bb7, HEAD~292
2021-07-04 05:04:16,198 DEBUG                  - depth 4, hash 6b0dd15, HEAD~998
2021-07-04 05:04:16,202 DEBUG                  - depth 5, hash 40a3cda, HEAD~1002
2021-07-04 05:04:16,206 DEBUG                  - depth 6, hash 5b40706, HEAD~1111
2021-07-04 05:04:16,210 DEBUG                  - depth 7, hash a29e8b5, HEAD~1199
2021-07-04 05:04:16,214 DEBUG    [line range] org/jsoup/nodes/Attribute.java setKey 63:73
2021-07-04 05:04:16,251 DEBUG                  - depth 0, hash a7749a6, HEAD~167
2021-07-04 05:04:16,257 DEBUG                  - depth 1, hash ea1fb65, HEAD~170
2021-07-04 05:04:16,261 DEBUG                  - depth 2, hash 6569bb7, HEAD~292
2021-07-04 05:04:16,265 DEBUG                  - depth 3, hash 28418f8, HEAD~1087
2021-07-04 05:04:16,269 DEBUG                  - depth 4, hash a29e8b5, HEAD~1199
2021-07-04 05:04:16,273 DEBUG    [line range] org/jsoup/nodes/Attribute.java setValue 87:96
2021-07-04 05:04:16,311 DEBUG                  - depth 0, hash ea1fb65, HEAD~170
2021-07-04 05:04:16,316 DEBUG                  - depth 1, hash 847e03e, HEAD~986
2021-07-04 05:04:16,320 DEBUG                  - depth 2, hash a29e8b5, HEAD~1199
2021-07-04 05:04:16,324 INFO     The number of BIC candidates: 13
