2021-07-04 05:04:50,009 INFO     Search BICs for /tmp/JxPath-1b/
2021-07-04 05:04:50,010 DEBUG    Reading the coverage of org.apache.commons.jxpath.ri.model.jdom.JDOMModelTest::testGetNode (failings)
2021-07-04 05:04:50,174 DEBUG    Reading the coverage of org.apache.commons.jxpath.ri.model.dom.DOMModelTest::testGetNode (failings)
2021-07-04 05:04:50,356 INFO     Loaded 2x1805 Coverage Matrix
2021-07-04 05:04:50,356 INFO     The number of total commits: 264
2021-07-04 05:04:50,633 DEBUG    [single line]   org/apache/commons/jxpath/AbstractFactory.java <init> 32
2021-07-04 05:04:50,649 DEBUG                  - depth 0, hash 34b7a47, HEAD~250
2021-07-04 05:04:50,942 DEBUG    [single line]   org/apache/commons/jxpath/BasicVariables.java <init> 27
2021-07-04 05:04:50,957 DEBUG                  - depth 0, hash bc53a66, HEAD~262
2021-07-04 05:04:50,962 DEBUG    [line range] org/apache/commons/jxpath/BasicVariables.java <init> 32:32
2021-07-04 05:04:50,977 DEBUG                  - depth 0, hash bc53a66, HEAD~262
2021-07-04 05:04:50,983 DEBUG    [line range] org/apache/commons/jxpath/BasicVariables.java declareVariable 72:74
2021-07-04 05:04:50,997 DEBUG                  - depth 0, hash 2327c42, HEAD~131
2021-07-04 05:04:51,003 DEBUG                  - depth 1, hash bc53a66, HEAD~262
2021-07-04 05:04:51,380 DEBUG    [line range] org/apache/commons/jxpath/JXPathContext.java <clinit> 396:397
2021-07-04 05:04:51,396 DEBUG                  - depth 0, hash 6b2fdb6, HEAD~62
2021-07-04 05:04:51,402 DEBUG    [line range] org/apache/commons/jxpath/JXPathContext.java <init> 387:387
2021-07-04 05:04:51,420 DEBUG                  - depth 0, hash 6f2f15a, HEAD~92
2021-07-04 05:04:51,426 DEBUG                  - depth 1, hash 9d0a382, HEAD~106
2021-07-04 05:04:51,430 DEBUG                  - depth 2, hash d0a64d1, HEAD~252
2021-07-04 05:04:51,434 DEBUG                  - depth 3, hash 3ec25ca, HEAD~253
2021-07-04 05:04:51,438 DEBUG    [line range] org/apache/commons/jxpath/JXPathContext.java getContextFactory 421:426
2021-07-04 05:04:51,455 DEBUG                  - depth 0, hash 9d0a382, HEAD~106
2021-07-04 05:04:51,460 DEBUG    [line range] org/apache/commons/jxpath/JXPathContext.java getLocale 542:552
2021-07-04 05:04:51,479 DEBUG                  - depth 0, hash 438d305, HEAD~121
2021-07-04 05:04:51,484 DEBUG                  - depth 1, hash 2327c42, HEAD~131
2021-07-04 05:04:51,489 DEBUG                  - depth 2, hash 632e722, HEAD~201
2021-07-04 05:04:51,493 DEBUG                  - depth 3, hash 3ec25ca, HEAD~253
