2021-07-04 05:37:58,602 INFO     Search BICs for /tmp/Lang-25b/
2021-07-04 05:37:58,602 DEBUG    Reading the coverage of org.apache.commons.lang3.text.translate.EntityArraysTest::testISO8859_1_ESCAPE (failings)
2021-07-04 05:37:58,603 INFO     Loaded 1x16 Coverage Matrix
2021-07-04 05:37:58,604 INFO     The number of total commits: 2605
2021-07-04 05:37:59,004 DEBUG    [line range] org/apache/commons/lang3/text/translate/EntityArrays.java <clinit> 31:128
2021-07-04 05:37:59,083 DEBUG                  - depth 0, hash 77a7d7f, HEAD~1
2021-07-04 05:37:59,089 DEBUG                  - depth 1, hash 73a09af, HEAD~551
2021-07-04 05:37:59,093 DEBUG                  - depth 2, hash a244767, HEAD~574
2021-07-04 05:37:59,098 DEBUG    [line range] org/apache/commons/lang3/text/translate/EntityArrays.java ISO8859_1_ESCAPE 30:30
2021-07-04 05:37:59,176 DEBUG                  - depth 0, hash 73a09af, HEAD~551
2021-07-04 05:37:59,181 DEBUG                  - depth 1, hash a244767, HEAD~574
2021-07-04 05:37:59,185 DEBUG    [line range] org/apache/commons/lang3/text/translate/EntityArrays.java invert 371:378
2021-07-04 05:37:59,265 DEBUG                  - depth 0, hash 73a09af, HEAD~551
2021-07-04 05:37:59,271 DEBUG                  - depth 1, hash a244767, HEAD~574
2021-07-04 05:37:59,275 INFO     The number of BIC candidates: 3
