2021-07-04 09:08:50,770 INFO     Search BICs for /tmp/Mockito-17b/
2021-07-04 09:08:50,770 DEBUG    Reading the coverage of org.mockitousage.basicapi.MocksSerializationTest::shouldBeSerializeAndHaveExtraInterfaces (failings)
2021-07-04 09:08:50,781 INFO     Loaded 1x216 Coverage Matrix
2021-07-04 09:08:50,782 INFO     The number of total commits: 1260
2021-07-04 09:08:51,139 DEBUG    [line range] org/mockito/Matchers.java <clinit> 95:95
2021-07-04 09:08:51,229 DEBUG                  - depth 0, hash d94c8c1, HEAD~396
2021-07-04 09:08:51,235 DEBUG                  - depth 1, hash 7035637, HEAD~453
2021-07-04 09:08:51,239 DEBUG                  - depth 2, hash 863efe6, HEAD~472
2021-07-04 09:08:51,243 DEBUG                  - depth 3, hash 6d73019, HEAD~492
2021-07-04 09:08:51,247 DEBUG                  - depth 4, hash affa89d, HEAD~493
2021-07-04 09:08:51,251 DEBUG                  - depth 5, hash e6759cc, HEAD~574
2021-07-04 09:08:51,255 DEBUG                  - depth 6, hash 63fbcc7, HEAD~575
2021-07-04 09:08:51,259 DEBUG                  - depth 7, hash 9d1a555, HEAD~616
2021-07-04 09:08:51,263 DEBUG                  - depth 8, hash 97194a6, HEAD~646
2021-07-04 09:08:51,267 DEBUG                  - depth 9, hash eb1110e, HEAD~673
2021-07-04 09:08:51,272 DEBUG                  - depth 10, hash b0c3487, HEAD~703
2021-07-04 09:08:51,276 DEBUG                  - depth 11, hash e71e3d3, HEAD~734
2021-07-04 09:08:51,280 DEBUG                  - depth 12, hash b29cc4b, HEAD~739
2021-07-04 09:08:51,284 DEBUG                  - depth 13, hash a56149b, HEAD~747
2021-07-04 09:08:51,288 DEBUG                  - depth 14, hash 56b3503, HEAD~751
2021-07-04 09:08:51,292 DEBUG                  - depth 15, hash a0e3112, HEAD~842
2021-07-04 09:08:51,296 DEBUG                  - depth 16, hash f123fe1, HEAD~850
2021-07-04 09:08:51,300 DEBUG                  - depth 17, hash 03444ce, HEAD~857
2021-07-04 09:08:51,304 DEBUG                  - depth 18, hash 4f7f2f1, HEAD~859
2021-07-04 09:08:51,308 DEBUG                  - depth 19, hash 868fcb0, HEAD~862
2021-07-04 09:08:51,312 DEBUG                  - depth 20, hash 1b1c8f7, HEAD~871
2021-07-04 09:08:51,317 DEBUG                  - depth 21, hash b866779, HEAD~873
2021-07-04 09:08:51,321 DEBUG                  - depth 22, hash 05c8ca8, HEAD~906
2021-07-04 09:08:51,325 DEBUG                  - depth 23, hash 5b494bf, HEAD~908
2021-07-04 09:08:51,329 DEBUG                  - depth 24, hash 83e1a6d, HEAD~911
2021-07-04 09:08:51,333 DEBUG                  - depth 25, hash 85cc060, HEAD~913
2021-07-04 09:08:51,337 DEBUG                  - depth 26, hash 56d884c, HEAD~914
2021-07-04 09:08:51,341 DEBUG                  - depth 27, hash feb23b0, HEAD~916
2021-07-04 09:08:51,345 DEBUG                  - depth 28, hash bda14b0, HEAD~929
2021-07-04 09:08:51,350 DEBUG                  - depth 29, hash bf4eec3, HEAD~932
2021-07-04 09:08:51,354 DEBUG                  - depth 30, hash 71450e5, HEAD~933
2021-07-04 09:08:51,358 DEBUG                  - depth 31, hash df23bd3, HEAD~935
2021-07-04 09:08:51,362 DEBUG                  - depth 32, hash 824fbd7, HEAD~948
2021-07-04 09:08:51,366 DEBUG                  - depth 33, hash 6127c09, HEAD~983
2021-07-04 09:08:51,370 DEBUG                  - depth 34, hash bbd8d3c, HEAD~984
2021-07-04 09:08:51,374 DEBUG                  - depth 35, hash 331f9b9, HEAD~985
2021-07-04 09:08:51,379 DEBUG                  - depth 36, hash 8ddb75e, HEAD~987
2021-07-04 09:08:51,383 DEBUG                  - depth 37, hash 057ebdd, HEAD~988
2021-07-04 09:08:51,387 DEBUG                  - depth 38, hash 9f6cfd4, HEAD~990
2021-07-04 09:08:51,391 DEBUG                  - depth 39, hash 1913433, HEAD~991
2021-07-04 09:08:51,395 DEBUG                  - depth 40, hash 6a49c13, HEAD~1001
2021-07-04 09:08:51,399 DEBUG                  - depth 41, hash e056054, HEAD~1003
2021-07-04 09:08:51,403 DEBUG                  - depth 42, hash 389a09b, HEAD~1013
2021-07-04 09:08:51,408 DEBUG                  - depth 43, hash 272b3f0, HEAD~1043
2021-07-04 09:08:51,412 DEBUG                  - depth 44, hash 45b98cb, HEAD~1044
2021-07-04 09:08:51,416 DEBUG                  - depth 45, hash e86b9ac, HEAD~1051
2021-07-04 09:08:51,420 DEBUG                  - depth 46, hash d721a5a, HEAD~1059
2021-07-04 09:08:51,424 DEBUG                  - depth 47, hash 7862120, HEAD~1060
2021-07-04 09:08:51,428 DEBUG                  - depth 48, hash 85909dd, HEAD~1096
2021-07-04 09:08:51,432 DEBUG                  - depth 49, hash 9952454, HEAD~1098
2021-07-04 09:08:51,436 DEBUG                  - depth 50, hash 5f9f61a, HEAD~1195
2021-07-04 09:08:51,441 DEBUG                  - depth 51, hash 5f41dde, HEAD~1231
2021-07-04 09:08:51,445 DEBUG                  - depth 52, hash da791d6, HEAD~1233
2021-07-04 09:08:51,449 DEBUG                  - depth 53, hash 55db3c7, HEAD~1237
2021-07-04 09:08:51,453 DEBUG                  - depth 54, hash ce623bd, HEAD~1242
2021-07-04 09:08:51,815 DEBUG    [line range] org/mockito/Mockito.java <clinit> 621:621
2021-07-04 09:08:51,904 DEBUG                  - depth 0, hash 52a27f7, HEAD~362
2021-07-04 09:08:51,910 DEBUG                  - depth 1, hash 7a9beaf, HEAD~364
2021-07-04 09:08:51,914 DEBUG    [line range] org/mockito/Mockito.java mock 825:827
2021-07-04 09:08:52,035 DEBUG                  - depth 0, hash c69a4d3, HEAD~277
2021-07-04 09:08:52,040 DEBUG                  - depth 1, hash 9a93c49, HEAD~278
2021-07-04 09:08:52,044 DEBUG                  - depth 2, hash 7a9beaf, HEAD~364
2021-07-04 09:08:52,048 DEBUG                  - depth 3, hash b10d431, HEAD~365
2021-07-04 09:08:52,053 DEBUG                  - depth 4, hash 51aca50, HEAD~401
2021-07-04 09:08:52,057 DEBUG                  - depth 5, hash 42117fb, HEAD~428
2021-07-04 09:08:52,061 DEBUG                  - depth 6, hash d5d05a2, HEAD~438
2021-07-04 09:08:52,065 DEBUG                  - depth 7, hash 6680565, HEAD~439
2021-07-04 09:08:52,069 DEBUG                  - depth 8, hash d9a7fe6, HEAD~440
2021-07-04 09:08:52,073 DEBUG                  - depth 9, hash 1cdf03f, HEAD~441
2021-07-04 09:08:52,077 DEBUG                  - depth 10, hash c0700cf, HEAD~450
2021-07-04 09:08:52,082 DEBUG                  - depth 11, hash 115824f, HEAD~451
2021-07-04 09:08:52,086 DEBUG                  - depth 12, hash 2ddf002, HEAD~454
2021-07-04 09:08:52,090 DEBUG                  - depth 13, hash c81d6bd, HEAD~458
2021-07-04 09:08:52,094 DEBUG                  - depth 14, hash 454dd73, HEAD~471
2021-07-04 09:08:52,098 DEBUG                  - depth 15, hash 863efe6, HEAD~472
2021-07-04 09:08:52,102 DEBUG                  - depth 16, hash 8928424, HEAD~505
2021-07-04 09:08:52,106 DEBUG                  - depth 17, hash 2903175, HEAD~509
2021-07-04 09:08:52,110 DEBUG                  - depth 18, hash 10f43cc, HEAD~510
2021-07-04 09:08:52,115 DEBUG                  - depth 19, hash 197397b, HEAD~519
2021-07-04 09:08:52,119 DEBUG                  - depth 20, hash f79e36a, HEAD~521
2021-07-04 09:08:52,123 DEBUG                  - depth 21, hash 9aa4ac8, HEAD~524
2021-07-04 09:08:52,127 DEBUG                  - depth 22, hash ae4edc5, HEAD~526
2021-07-04 09:08:52,131 DEBUG                  - depth 23, hash 296a8a3, HEAD~527
2021-07-04 09:08:52,135 DEBUG                  - depth 24, hash ee8cd08, HEAD~530
2021-07-04 09:08:52,139 DEBUG                  - depth 25, hash 36f0f5a, HEAD~533
2021-07-04 09:08:52,144 DEBUG                  - depth 26, hash 4a53794, HEAD~558
2021-07-04 09:08:52,148 DEBUG                  - depth 27, hash e03ee92, HEAD~572
2021-07-04 09:08:52,152 DEBUG                  - depth 28, hash 2faec95, HEAD~573
2021-07-04 09:08:52,156 DEBUG                  - depth 29, hash 4aa8e25, HEAD~576
2021-07-04 09:08:52,160 DEBUG                  - depth 30, hash ffdd141, HEAD~579
2021-07-04 09:08:52,164 DEBUG                  - depth 31, hash eb59f08, HEAD~583
2021-07-04 09:08:52,168 DEBUG                  - depth 32, hash 4701604, HEAD~586
2021-07-04 09:08:52,172 DEBUG                  - depth 33, hash 2b4ae9f, HEAD~594
2021-07-04 09:08:52,177 DEBUG                  - depth 34, hash 762e769, HEAD~605
2021-07-04 09:08:52,181 DEBUG                  - depth 35, hash c0b713b, HEAD~614
2021-07-04 09:08:52,185 DEBUG                  - depth 36, hash 9d1a555, HEAD~616
2021-07-04 09:08:52,189 DEBUG                  - depth 37, hash 64627c8, HEAD~628
2021-07-04 09:08:52,193 DEBUG                  - depth 38, hash 0713970, HEAD~629
2021-07-04 09:08:52,197 DEBUG                  - depth 39, hash e21b36c, HEAD~630
2021-07-04 09:08:52,201 DEBUG                  - depth 40, hash 82ab746, HEAD~631
2021-07-04 09:08:52,206 DEBUG                  - depth 41, hash 7731314, HEAD~632
2021-07-04 09:08:52,210 DEBUG                  - depth 42, hash 97194a6, HEAD~646
2021-07-04 09:08:52,214 DEBUG                  - depth 43, hash 2e5f458, HEAD~649
2021-07-04 09:08:52,218 DEBUG                  - depth 44, hash 9fdf230, HEAD~652
2021-07-04 09:08:52,222 DEBUG                  - depth 45, hash 5cf74b9, HEAD~653
2021-07-04 09:08:52,226 DEBUG                  - depth 46, hash 5a5cd16, HEAD~655
2021-07-04 09:08:52,230 DEBUG                  - depth 47, hash 1bd90b7, HEAD~657
2021-07-04 09:08:52,235 DEBUG                  - depth 48, hash c178b84, HEAD~666
2021-07-04 09:08:52,239 DEBUG                  - depth 49, hash bc5d497, HEAD~675
2021-07-04 09:08:52,243 DEBUG                  - depth 50, hash f07e940, HEAD~679
2021-07-04 09:08:52,247 DEBUG                  - depth 51, hash 8074e4b, HEAD~680
2021-07-04 09:08:52,251 DEBUG                  - depth 52, hash eadad3e, HEAD~681
2021-07-04 09:08:52,255 DEBUG                  - depth 53, hash cc1103a, HEAD~692
2021-07-04 09:08:52,260 DEBUG                  - depth 54, hash 09cb4d4, HEAD~693
2021-07-04 09:08:52,264 DEBUG                  - depth 55, hash 7454526, HEAD~695
2021-07-04 09:08:52,268 DEBUG                  - depth 56, hash 8a6aaec, HEAD~696
2021-07-04 09:08:52,272 DEBUG                  - depth 57, hash f360421, HEAD~697
2021-07-04 09:08:52,276 DEBUG                  - depth 58, hash fc445b8, HEAD~698
2021-07-04 09:08:52,280 DEBUG                  - depth 59, hash af098cc, HEAD~699
2021-07-04 09:08:52,284 DEBUG                  - depth 60, hash 3fbc682, HEAD~700
2021-07-04 09:08:52,289 DEBUG                  - depth 61, hash e837d72, HEAD~701
2021-07-04 09:08:52,293 DEBUG                  - depth 62, hash c304868, HEAD~702
2021-07-04 09:08:52,297 DEBUG                  - depth 63, hash b0c3487, HEAD~703
2021-07-04 09:08:52,301 DEBUG                  - depth 64, hash a763056, HEAD~704
2021-07-04 09:08:52,305 DEBUG                  - depth 65, hash e15f06c, HEAD~707
2021-07-04 09:08:52,309 DEBUG                  - depth 66, hash 87581fc, HEAD~711
2021-07-04 09:08:52,314 DEBUG                  - depth 67, hash 235b99a, HEAD~716
2021-07-04 09:08:52,318 DEBUG                  - depth 68, hash 183167d, HEAD~719
2021-07-04 09:08:52,322 DEBUG                  - depth 69, hash 6519fea, HEAD~721
2021-07-04 09:08:52,326 DEBUG                  - depth 70, hash 4802629, HEAD~722
