2021-07-04 10:19:38,697 INFO     Search BICs for /tmp/Time-14b/
2021-07-04 10:19:38,697 DEBUG    Reading the coverage of org.joda.time.TestMonthDay_Basics::testMinusMonths_int_endOfMonthAdjust (failings)
2021-07-04 10:19:38,893 DEBUG    Reading the coverage of org.joda.time.TestMonthDay_Basics::testPlusDays_int_fromLeap (failings)
2021-07-04 10:19:39,073 DEBUG    Reading the coverage of org.joda.time.TestMonthDay_Basics::testPlusMonths_int_negativeEndOfMonthAdjust (failings)
2021-07-04 10:19:39,266 DEBUG    Reading the coverage of org.joda.time.TestMonthDay_Basics::testPlusMonths_int_negativeFromLeap (failings)
2021-07-04 10:19:39,453 DEBUG    Reading the coverage of org.joda.time.TestMonthDay_Basics::testMinusMonths_int_negativeFromLeap (failings)
2021-07-04 10:19:39,635 DEBUG    Reading the coverage of org.joda.time.TestMonthDay_Basics::testPlusMonths_int_fromLeap (failings)
2021-07-04 10:19:39,819 DEBUG    Reading the coverage of org.joda.time.TestMonthDay_Basics::testMinusMonths_int_fromLeap (failings)
2021-07-04 10:19:40,004 DEBUG    Reading the coverage of org.joda.time.TestMonthDay_Basics::testMinusDays_int_negativeFromLeap (failings)
2021-07-04 10:19:40,179 INFO     Loaded 8x2040 Coverage Matrix
2021-07-04 10:19:40,180 INFO     The number of total commits: 1572
2021-07-04 10:19:40,514 DEBUG    [single line]   org/joda/time/Chronology.java <init> 63
2021-07-04 10:19:40,577 DEBUG                  - depth 0, hash 6bdd176, HEAD~1144
2021-07-04 10:19:40,583 DEBUG                  - depth 1, hash 14dcaf0, HEAD~1447
2021-07-04 10:19:40,587 DEBUG                  - depth 2, hash 7fe68f2, HEAD~1568
2021-07-04 10:19:41,061 DEBUG    [line range] org/joda/time/DateTime.java <init> 507:518
2021-07-04 10:19:41,137 DEBUG                  - depth 0, hash 0e07ac6, HEAD~1562
2021-07-04 10:19:41,143 DEBUG                  - depth 1, hash 7fe68f2, HEAD~1568
2021-07-04 10:19:41,147 DEBUG    [line range] org/joda/time/DateTime.java toDateTime 526:528
2021-07-04 10:19:41,218 DEBUG                  - depth 0, hash 8fe0060, HEAD~1160
