1,2266,2010-02-09 13:23:49 -0800 ,983,https://sourceforge.net/p/jfreechart/bugs/983
2,2242,2009-09-15 22:49:25 -0700 ,959,https://sourceforge.net/p/jfreechart/bugs/959
3,2227,2009-08-31 13:54:18 -0700 ,UNKNOWN,UNKNOWN
4,2183,2009-06-29 11:18:43 -0700 ,UNKNOWN,UNKNOWN
5,1696,2008-11-24 01:19:36 -0800 ,862,https://sourceforge.net/p/jfreechart/bugs/862
6,1166,2008-06-17 01:44:13 -0700 ,UNKNOWN,UNKNOWN
7,1087,2008-06-10 02:22:11 -0700 ,UNKNOWN,UNKNOWN
8,1085,2008-06-10 02:19:11 -0700 ,UNKNOWN,UNKNOWN
9,1083,2008-06-10 02:08:12 -0700 ,818,https://sourceforge.net/p/jfreechart/bugs/818
10,1065,2008-06-10 00:32:29 -0700 ,UNKNOWN,UNKNOWN
11,1025,2008-06-02 00:27:30 -0700 ,868,https://sourceforge.net/p/jfreechart/bugs/868
12,852,2008-04-18 06:49:16 -0700 ,213,https://sourceforge.net/p/jfreechart/patches/213
13,822,2008-04-08 12:50:42 -0700 ,UNKNOWN,UNKNOWN
14,811,2008-04-07 07:16:39 -0700 ,UNKNOWN,UNKNOWN
15,749,2008-03-19 13:42:01 -0700 ,UNKNOWN,UNKNOWN
16,743,2008-02-25 15:58:12 -0800 ,834,https://sourceforge.net/p/jfreechart/bugs/834
17,622,2007-11-22 01:50:16 -0800 ,803,https://sourceforge.net/p/jfreechart/bugs/803
18,621,2007-11-22 01:46:16 -0800 ,UNKNOWN,UNKNOWN
19,434,2007-10-25 05:56:24 -0700 ,UNKNOWN,UNKNOWN
20,283,2007-10-08 02:39:54 -0700 ,UNKNOWN,UNKNOWN
21,231,2007-10-03 06:28:03 -0700 ,UNKNOWN,UNKNOWN
22,227,2007-10-03 03:58:18 -0700 ,UNKNOWN,UNKNOWN
23,210,2007-09-28 08:28:53 -0700 ,UNKNOWN,UNKNOWN
24,190,2007-09-26 07:00:52 -0700 ,UNKNOWN,UNKNOWN
25,164,2007-08-28 04:53:09 -0700 ,UNKNOWN,UNKNOWN
26,103,2007-07-06 04:03:52 -0700 ,UNKNOWN,UNKNOWN
