pid,vid,insertions,deletions
Chart,1,1,1
Chart,10,1,1
Chart,11,1,1
Chart,12,1,1
Chart,13,1,1
Chart,14,12,0
Chart,15,5,0
Chart,16,3,3
Chart,17,2,1
Chart,18,11,3
Chart,19,6,0
Chart,2,14,0
Chart,20,1,1
Chart,21,39,0
Chart,22,32,3
Chart,23,19,0
Chart,24,1,1
Chart,25,14,2
Chart,26,2,0
Chart,3,2,0
Chart,4,2,0
Chart,5,5,1
Chart,6,8,1
Chart,7,2,2
Chart,8,1,1
Chart,9,1,1
Cli,1,31,31
Cli,10,2,1
Cli,11,1,1
Cli,12,6,1
Cli,13,10,1
Cli,14,3,3
Cli,15,14,5
Cli,16,15,0
Cli,17,1,0
Cli,18,2,5
Cli,19,2,2
Cli,2,3,2
Cli,20,9,4
Cli,21,34,0
Cli,22,13,9
Cli,23,6,5
Cli,24,1,2
Cli,25,1,1
Cli,26,5,1
Cli,27,2,2
Cli,28,1,1
Cli,29,2,6
Cli,3,11,2
Cli,30,16,4
Cli,31,4,4
Cli,32,1,5
Cli,33,18,1
Cli,34,2,2
Cli,35,3,0
Cli,36,3,4
Cli,37,7,1
Cli,38,5,1
Cli,39,12,1
Cli,4,3,1
Cli,40,1,1
Cli,5,3,0
Cli,7,2,2
Cli,8,1,1
Cli,9,2,1
Closure,1,3,0
Closure,10,1,1
Closure,100,8,1
Closure,101,1,3
Closure,102,1,1
Closure,103,8,0
Closure,104,1,1
Closure,105,7,5
Closure,106,4,2
Closure,107,1,0
Closure,108,4,1
Closure,109,5,1
Closure,11,0,2
Closure,110,25,4
Closure,111,2,1
Closure,112,9,3
Closure,113,1,1
Closure,114,1,1
Closure,115,0,11
Closure,116,12,0
Closure,117,12,12
Closure,118,3,0
Closure,119,1,0
Closure,12,6,0
Closure,120,3,0
Closure,121,3,1
Closure,122,2,1
Closure,123,1,1
Closure,124,2,0
Closure,125,1,1
Closure,126,0,4
Closure,127,10,1
Closure,128,4,1
Closure,129,3,0
Closure,13,1,1
Closure,130,1,1
Closure,131,2,1
Closure,132,3,1
Closure,133,1,0
Closure,134,17,10
Closure,135,8,0
Closure,136,9,21
Closure,137,72,44
Closure,138,10,4
Closure,139,32,1
Closure,14,1,1
Closure,140,9,6
Closure,141,25,3
Closure,142,6,0
Closure,143,4,2
Closure,144,43,4
Closure,145,13,0
Closure,146,2,1
Closure,147,7,1
Closure,148,150,77
Closure,149,17,8
Closure,15,3,0
Closure,150,1,15
Closure,151,13,0
Closure,152,4,1
Closure,153,26,21
Closure,154,26,19
Closure,155,70,4
Closure,156,23,11
Closure,157,63,15
Closure,158,76,31
Closure,159,3,4
Closure,16,9,3
Closure,160,4,4
Closure,161,3,0
Closure,162,41,21
Closure,163,127,54
Closure,164,17,0
Closure,165,29,2
Closure,166,6,0
Closure,167,15,14
Closure,168,1,1
Closure,169,119,36
Closure,17,5,1
Closure,170,14,3
Closure,171,4,6
Closure,172,6,0
Closure,173,29,6
Closure,174,15,6
Closure,175,19,19
Closure,176,8,4
Closure,18,1,1
Closure,19,2,0
Closure,2,4,0
Closure,20,2,1
Closure,21,2,19
Closure,22,2,26
Closure,23,7,1
Closure,24,4,3
Closure,25,2,4
Closure,26,5,0
Closure,27,6,3
Closure,28,4,0
Closure,29,10,0
Closure,3,8,2
Closure,30,10,2
Closure,31,0,1
Closure,32,15,3
Closure,33,3,0
Closure,34,3,5
Closure,35,2,15
Closure,36,3,0
Closure,37,5,1
Closure,38,1,1
Closure,39,3,3
Closure,4,2,2
Closure,40,1,3
Closure,41,9,0
Closure,42,7,0
Closure,43,17,0
Closure,44,2,0
Closure,45,6,2
Closure,46,0,16
Closure,47,8,3
Closure,48,7,4
Closure,49,14,8
Closure,5,3,0
Closure,50,6,1
Closure,51,4,1
Closure,52,1,1
Closure,53,4,0
Closure,54,12,3
Closure,55,2,1
Closure,56,4,0
Closure,57,1,1
Closure,58,4,0
Closure,59,2,1
Closure,6,0,8
Closure,60,5,0
Closure,61,6,0
Closure,62,1,1
Closure,64,4,4
Closure,65,1,1
Closure,66,2,0
Closure,67,1,1
Closure,68,3,1
Closure,69,7,0
Closure,7,5,1
Closure,70,1,1
Closure,71,1,1
Closure,72,3,1
Closure,73,1,1
Closure,74,15,2
Closure,75,4,1
Closure,76,37,6
Closure,77,1,0
Closure,78,0,2
Closure,79,2,1
Closure,8,4,0
Closure,80,2,0
Closure,81,7,0
Closure,82,3,1
Closure,83,4,1
Closure,84,27,0
Closure,85,8,14
Closure,86,1,1
Closure,87,13,1
Closure,88,6,0
Closure,89,4,1
Closure,9,2,1
Closure,90,4,1
Closure,91,9,0
Closure,92,1,1
Closure,94,19,0
Closure,95,7,0
Closure,96,4,1
Closure,97,2,1
Closure,98,19,0
Closure,99,6,1
Codec,1,3,3
Codec,10,1,1
Codec,11,52,11
Codec,12,29,0
Codec,13,77,1
Codec,14,624,6
Codec,15,6,5
Codec,16,1,1
Codec,17,1,1
Codec,18,1,1
Codec,2,1,1
Codec,3,1,1
Codec,4,1,1
Codec,5,3,0
Codec,6,5,1
Codec,7,1,1
Codec,8,0,10
Codec,9,1,1
Collections,25,9,3
Collections,26,1,1
Collections,27,7,0
Collections,28,10,0
Compress,1,1,0
Compress,10,6,2
Compress,11,2,0
Compress,12,7,1
Compress,13,4,0
Compress,14,1,8
Compress,15,5,5
Compress,16,2,1
Compress,17,2,1
Compress,18,3,0
Compress,19,1,1
Compress,2,32,7
Compress,20,6,6
Compress,21,2,3
Compress,22,5,17
Compress,23,1,1
Compress,24,5,8
Compress,25,1,0
Compress,26,11,0
Compress,27,0,4
Compress,28,4,1
Compress,29,20,0
Compress,3,6,0
Compress,30,3,0
Compress,31,0,3
Compress,32,2,2
Compress,33,15,0
Compress,34,2,1
Compress,35,1,6
Compress,36,3,0
Compress,37,3,1
Compress,38,1,1
Compress,39,8,1
Compress,4,1,3
Compress,40,28,1
Compress,41,2,1
Compress,42,2,1
Compress,43,5,5
Compress,44,6,0
Compress,45,2,1
Compress,46,1,2
Compress,47,14,1
Compress,5,6,2
Compress,6,6,3
Compress,7,3,2
Compress,8,30,10
Compress,9,9,1
Csv,1,1,1
Csv,10,3,0
Csv,11,1,1
Csv,12,1,1
Csv,13,4,2
Csv,14,1,1
Csv,15,1,3
Csv,16,6,2
Csv,2,7,0
Csv,3,3,0
Csv,4,1,1
Csv,5,2,0
Csv,6,2,0
Csv,7,4,0
Csv,8,6,7
Csv,9,3,0
Gson,1,41,0
Gson,10,2,2
Gson,11,1,0
Gson,12,4,0
Gson,13,1,1
Gson,14,8,0
Gson,15,1,1
Gson,16,5,0
Gson,17,3,2
Gson,18,3,0
Gson,2,13,1
Gson,3,17,1
Gson,4,9,19
Gson,5,1,0
Gson,6,2,0
Gson,7,10,2
Gson,8,13,0
Gson,9,16,4
JacksonCore,1,13,2
JacksonCore,10,4,2
JacksonCore,11,1,0
JacksonCore,12,15,6
JacksonCore,13,8,0
JacksonCore,14,3,3
JacksonCore,15,9,0
JacksonCore,16,14,6
JacksonCore,17,44,3
JacksonCore,18,12,8
JacksonCore,19,8,0
JacksonCore,2,49,3
JacksonCore,20,10,1
JacksonCore,21,2,0
JacksonCore,22,16,3
JacksonCore,23,4,0
JacksonCore,24,18,8
JacksonCore,25,1,1
JacksonCore,26,1,0
JacksonCore,3,2,0
JacksonCore,4,4,1
JacksonCore,5,1,1
JacksonCore,6,9,2
JacksonCore,7,3,0
JacksonCore,8,1,1
JacksonCore,9,18,0
JacksonDatabind,1,1,0
JacksonDatabind,10,19,3
JacksonDatabind,100,3,9
JacksonDatabind,101,5,1
JacksonDatabind,102,0,3
JacksonDatabind,103,32,24
JacksonDatabind,104,20,0
JacksonDatabind,105,5,1
JacksonDatabind,106,6,0
JacksonDatabind,107,1,1
JacksonDatabind,108,31,1
JacksonDatabind,109,51,0
JacksonDatabind,11,2,2
JacksonDatabind,110,3,1
JacksonDatabind,111,15,9
JacksonDatabind,112,4,1
JacksonDatabind,12,3,1
JacksonDatabind,13,6,0
JacksonDatabind,14,14,1
JacksonDatabind,15,35,8
JacksonDatabind,16,1,1
JacksonDatabind,17,1,1
JacksonDatabind,18,66,16
JacksonDatabind,19,3,0
JacksonDatabind,2,20,0
JacksonDatabind,20,2,0
JacksonDatabind,21,17,0
JacksonDatabind,22,36,17
JacksonDatabind,23,29,0
JacksonDatabind,24,1,2
JacksonDatabind,25,4,4
JacksonDatabind,26,3,1
JacksonDatabind,27,1,1
JacksonDatabind,28,3,4
JacksonDatabind,29,7,0
JacksonDatabind,3,2,2
JacksonDatabind,30,17,0
JacksonDatabind,31,44,18
JacksonDatabind,32,3,0
JacksonDatabind,33,4,1
JacksonDatabind,34,1,1
JacksonDatabind,35,6,4
JacksonDatabind,36,11,0
JacksonDatabind,37,1,1
JacksonDatabind,38,33,4
JacksonDatabind,39,10,0
JacksonDatabind,4,8,0
JacksonDatabind,40,9,0
JacksonDatabind,41,6,2
JacksonDatabind,42,3,0
JacksonDatabind,43,3,2
JacksonDatabind,44,26,0
JacksonDatabind,45,2,1
JacksonDatabind,46,1,1
JacksonDatabind,47,9,0
JacksonDatabind,48,12,0
JacksonDatabind,49,2,0
JacksonDatabind,5,5,0
JacksonDatabind,50,42,0
JacksonDatabind,51,2,0
JacksonDatabind,52,15,1
JacksonDatabind,53,76,21
JacksonDatabind,54,2,2
JacksonDatabind,55,27,1
JacksonDatabind,56,12,2
JacksonDatabind,57,1,1
JacksonDatabind,58,5,0
JacksonDatabind,59,46,0
JacksonDatabind,6,27,4
JacksonDatabind,60,88,1
JacksonDatabind,61,9,0
JacksonDatabind,62,8,0
JacksonDatabind,63,11,2
JacksonDatabind,64,7,2
JacksonDatabind,65,5,2
JacksonDatabind,66,7,1
JacksonDatabind,67,3,2
JacksonDatabind,68,32,34
JacksonDatabind,69,10,6
JacksonDatabind,7,12,0
JacksonDatabind,70,1,1
JacksonDatabind,71,1,1
JacksonDatabind,72,3,1
JacksonDatabind,73,7,2
JacksonDatabind,74,7,0
JacksonDatabind,75,6,5
JacksonDatabind,76,1,21
JacksonDatabind,77,16,1
JacksonDatabind,78,25,0
JacksonDatabind,79,13,5
JacksonDatabind,8,12,1
JacksonDatabind,80,4,0
JacksonDatabind,81,32,3
JacksonDatabind,82,1,1
JacksonDatabind,83,0,2
JacksonDatabind,84,7,0
JacksonDatabind,85,38,11
JacksonDatabind,86,7,0
JacksonDatabind,87,13,7
JacksonDatabind,88,4,0
JacksonDatabind,89,6,0
JacksonDatabind,9,6,1
JacksonDatabind,90,9,1
JacksonDatabind,91,9,1
JacksonDatabind,92,6,0
JacksonDatabind,93,2,2
JacksonDatabind,94,5,0
JacksonDatabind,95,4,4
JacksonDatabind,96,1,1
JacksonDatabind,97,1,1
JacksonDatabind,98,10,1
JacksonDatabind,99,1,0
JacksonXml,1,8,4
JacksonXml,2,27,1
JacksonXml,3,1,2
JacksonXml,4,5,1
JacksonXml,5,1,1
JacksonXml,6,66,0
Jsoup,1,1,12
Jsoup,10,1,12
Jsoup,11,1,12
Jsoup,12,1,12
Jsoup,13,1,12
Jsoup,14,1,12
Jsoup,15,1,12
Jsoup,16,1,12
Jsoup,17,1,12
Jsoup,18,1,12
Jsoup,19,1,12
Jsoup,2,1,12
Jsoup,20,1,12
Jsoup,21,1,12
Jsoup,22,1,12
Jsoup,23,1,12
Jsoup,24,1,12
Jsoup,25,1,12
Jsoup,26,1,12
Jsoup,27,1,12
Jsoup,28,1,12
Jsoup,29,1,12
Jsoup,3,1,12
Jsoup,30,1,12
Jsoup,31,1,12
Jsoup,32,1,12
Jsoup,33,1,12
Jsoup,34,1,12
Jsoup,35,1,12
Jsoup,36,1,12
Jsoup,37,1,12
Jsoup,38,1,12
Jsoup,39,1,12
Jsoup,4,1,12
Jsoup,40,1,12
Jsoup,41,1,12
Jsoup,42,1,12
Jsoup,43,1,12
Jsoup,44,1,12
Jsoup,45,1,12
Jsoup,46,1,12
Jsoup,47,1,12
Jsoup,48,1,12
Jsoup,49,1,12
Jsoup,5,1,12
Jsoup,50,1,12
Jsoup,51,1,12
Jsoup,52,1,12
Jsoup,53,1,12
Jsoup,54,1,12
Jsoup,55,1,12
Jsoup,56,1,12
Jsoup,57,1,12
Jsoup,58,1,12
Jsoup,59,1,12
Jsoup,6,1,12
Jsoup,60,1,12
Jsoup,61,1,12
Jsoup,62,1,12
Jsoup,63,1,12
Jsoup,64,1,12
Jsoup,65,1,12
Jsoup,66,1,12
Jsoup,67,1,12
Jsoup,68,1,12
Jsoup,69,1,12
Jsoup,7,1,12
Jsoup,70,1,12
Jsoup,71,1,12
Jsoup,72,1,12
Jsoup,73,1,12
Jsoup,74,1,12
Jsoup,75,1,12
Jsoup,76,1,12
Jsoup,77,1,12
Jsoup,78,1,12
Jsoup,79,1,12
Jsoup,8,1,12
Jsoup,80,1,12
Jsoup,81,1,12
Jsoup,82,1,12
Jsoup,83,7,2
Jsoup,84,2,1
Jsoup,85,2,1
Jsoup,86,1,1
Jsoup,87,64,55
Jsoup,88,1,1
Jsoup,89,2,1
Jsoup,9,1,12
Jsoup,90,2,0
Jsoup,91,15,0
Jsoup,92,35,2
Jsoup,93,1,0
JxPath,1,3,2
JxPath,10,1,1
JxPath,11,15,2
JxPath,12,2,1
JxPath,13,48,24
JxPath,14,9,0
JxPath,15,8,2
JxPath,16,2,3
JxPath,17,9,14
JxPath,18,16,5
JxPath,19,18,6
JxPath,2,10,1
JxPath,20,10,1
JxPath,21,2,1
JxPath,22,3,3
JxPath,3,15,1
JxPath,4,33,28
JxPath,5,1,3
JxPath,6,10,2
JxPath,7,85,24
JxPath,8,6,0
JxPath,9,28,24
Lang,1,11,2
Lang,10,0,9
Lang,11,4,0
Lang,12,7,0
Lang,13,19,0
Lang,14,3,0
Lang,15,4,4
Lang,16,1,1
Lang,17,3,9
Lang,18,3,3
Lang,19,9,3
Lang,20,2,2
